param-n build-real build-sys build-user build-and-refine-real build-and-refine-sys build-and-refine-user refine-real refine-sys refine-user to-constr-real to-constr-sys to-constr-user type-of-real type-of-sys type-of-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
100 0.001 0. 0.001 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
200 0.003 0. 0.003 0.004 0. 0.004 0. 0. 0. 0. 0. 0. 0. 0. 0.
300 0.004 0. 0.004 0.087 0.003 0.083 0. 0. 0. 0.052 0. 0.052 0.029 0.003 0.025
400 0.006 0. 0.006 0.043 0. 0.043 0. 0. 0. 0.002 0. 0.002 0.033 0. 0.033
500 0.008 0. 0.008 0.016 0. 0.016 0.001 0. 0.001 0.003 0. 0.003 0.004 0. 0.004
600 0.009 0. 0.009 0.028 0. 0.028 0.001 0. 0.001 0.004 0. 0.004 0.012 0. 0.012
700 0.011 0. 0.011 0.027 0. 0.027 0.002 0. 0.002 0.005 0. 0.005 0.007 0. 0.007
800 0.012 0. 0.012 0.045 0. 0.045 0.003 0. 0.003 0.007 0. 0.007 0.022 0. 0.022
900 0.014 0. 0.014 0.04 0.003 0.036 0.004 0. 0.004 0.009 0.003 0.005 0.011 0. 0.011
1000 0.016 0. 0.016 0.066 0.004 0.061 0.005 0. 0.005 0.011 0.003 0.007 0.032 0. 0.032
1100 0.017 0. 0.017 0.056 0. 0.056 0.006 0. 0.006 0.014 0. 0.014 0.018 0. 0.018
1200 0.019 0. 0.019 0.065 0. 0.065 0.007 0. 0.007 0.016 0. 0.016 0.021 0. 0.021
1300 0.02 0. 0.02 0.076 0. 0.076 0.009 0. 0.009 0.019 0. 0.019 0.026 0. 0.026
1400 0.023 0. 0.023 0.087 0. 0.087 0.01 0. 0.01 0.022 0. 0.022 0.031 0. 0.031
1500 0.023 0. 0.023 0.099 0. 0.099 0.012 0. 0.012 0.026 0. 0.026 0.037 0. 0.037
1600 0.025 0. 0.025 0.115 0.003 0.111 0.014 0. 0.014 0.033 0.003 0.029 0.042 0. 0.042
1700 0.033 0. 0.033 0.131 0. 0.131 0.016 0. 0.016 0.033 0. 0.033 0.047 0. 0.047
1800 0.041 0. 0.041 0.153 0.004 0.149 0.018 0. 0.018 0.038 0.003 0.034 0.055 0. 0.054
1900 0.044 0. 0.044 0.173 0.003 0.169 0.02 0. 0.02 0.044 0.003 0.04 0.064 0. 0.064
2000 0.037 0. 0.037 0.225 0. 0.225 0.023 0. 0.023 0.041 0. 0.041 0.123 0. 0.123
2100 0.033 0. 0.033 0.19 0.003 0.186 0.025 0. 0.025 0.052 0. 0.052 0.078 0.003 0.074
2200 0.078 0. 0.078 0.259 0. 0.259 0.028 0. 0.028 0.058 0. 0.058 0.094 0. 0.094
2300 0.051 0. 0.051 0.247 0.003 0.243 0.031 0. 0.031 0.064 0.003 0.06 0.099 0. 0.099
2400 0.037 0. 0.037 0.252 0. 0.252 0.034 0. 0.034 0.069 0. 0.069 0.11 0. 0.11
2500 0.044 0. 0.044 0.281 0.003 0.277 0.037 0. 0.037 0.077 0. 0.077 0.122 0.003 0.118
2600 0.045 0. 0.045 0.309 0.012 0.297 0.04 0. 0.04 0.082 0.012 0.07 0.14 0. 0.14
