param-n open-constr-True-1000-real open-constr-True-1000-sys open-constr-True-1000-user
0 0.027 0.007 0.019
1 0.027 0.007 0.019
2 0.028 0.012 0.016
3 0.026 0. 0.025
4 0.021 0. 0.021
5 0.022 0. 0.022
6 0.023 0. 0.023
7 0.031 0. 0.031
8 0.026 0. 0.026
9 0.025 0. 0.025
10 0.025 0. 0.025
11 0.023 0.003 0.019
12 0.026 0. 0.026
13 0.025 0. 0.025
14 0.025 0. 0.025
15 0.03 0. 0.03
16 0.027 0. 0.026
17 0.036 0. 0.029
18 0.028 0. 0.028
19 0.027 0. 0.027
20 0.028 0. 0.028
21 0.028 0. 0.028
22 0.036 0. 0.036
23 0.029 0. 0.029
24 0.029 0. 0.029
25 0.029 0. 0.029
26 0.029 0. 0.029
27 0.029 0. 0.029
28 0.039 0. 0.039
29 0.03 0. 0.03
30 0.033 0. 0.033
31 0.033 0. 0.033
32 0.031 0. 0.031
33 0.031 0. 0.031
34 0.041 0. 0.041
35 0.031 0. 0.031
36 0.032 0. 0.032
37 0.032 0. 0.032
38 0.032 0. 0.032
39 0.033 0. 0.033
40 0.04 0. 0.04
41 0.033 0. 0.033
42 0.036 0. 0.036
43 0.034 0. 0.034
44 0.033 0. 0.033
45 0.045 0. 0.045
46 0.036 0. 0.036
47 0.04 0.003 0.036
48 0.035 0. 0.035
49 0.036 0. 0.036
50 0.05 0. 0.05
51 0.037 0. 0.037
52 0.037 0. 0.037
53 0.037 0. 0.037
54 0.043 0. 0.043
55 0.038 0. 0.038
56 0.044 0.003 0.04
57 0.039 0. 0.039
58 0.053 0. 0.053
59 0.039 0. 0.039
60 0.039 0. 0.039
61 0.043 0. 0.043
62 0.04 0. 0.04
63 0.041 0. 0.041
64 0.04 0. 0.04
65 0.041 0. 0.041
66 0.041 0. 0.041
67 0.046 0. 0.046
68 0.042 0. 0.042
69 0.042 0. 0.042
70 0.043 0. 0.043
71 0.042 0. 0.042
72 0.052 0. 0.052
73 0.043 0. 0.043
74 0.06 0. 0.06
75 0.045 0. 0.045
76 0.047 0. 0.047
77 0.044 0. 0.044
78 0.047 0.003 0.044
79 0.045 0. 0.045
80 0.048 0. 0.048
81 0.046 0. 0.046
82 0.046 0. 0.046
83 0.05 0.003 0.046
84 0.047 0. 0.047
85 0.049 0. 0.049
86 0.06 0. 0.06
87 0.048 0. 0.048
88 0.057 0. 0.057
89 0.048 0. 0.048
90 0.05 0. 0.05
91 0.051 0. 0.051
92 0.049 0. 0.049
93 0.051 0. 0.051
94 0.053 0. 0.053
95 0.052 0. 0.052
96 0.055 0. 0.054
97 0.056 0. 0.056
98 0.051 0. 0.051
99 0.056 0. 0.056
100 0.056 0. 0.056
101 0.055 0. 0.055
102 0.055 0. 0.055
103 0.058 0. 0.058
104 0.053 0. 0.053
105 0.056 0. 0.056
106 0.057 0. 0.057
107 0.053 0. 0.053
108 0.057 0. 0.057
109 0.056 0. 0.056
110 0.07 0.007 0.062
111 0.055 0. 0.055
112 0.061 0. 0.061
113 0.065 0. 0.065
114 0.075 0. 0.075
115 0.057 0. 0.057
116 0.098 0. 0.098
117 0.064 0.003 0.06
118 0.078 0. 0.077
119 0.057 0. 0.057
120 0.059 0. 0.059
121 0.064 0. 0.064
122 0.072 0. 0.072
123 0.083 0. 0.083
124 0.059 0. 0.059
125 0.06 0. 0.06
126 0.065 0. 0.065
127 0.073 0. 0.073
128 0.066 0. 0.066
129 0.061 0. 0.061
130 0.061 0. 0.061
131 0.063 0. 0.063
132 0.068 0. 0.068
133 0.064 0. 0.064
134 0.08 0. 0.08
135 0.063 0. 0.063
136 0.063 0. 0.063
137 0.064 0. 0.064
138 0.065 0. 0.065
139 0.07 0. 0.07
140 0.071 0. 0.071
141 0.076 0.003 0.072
142 0.076 0. 0.076
143 0.086 0. 0.086
144 0.065 0. 0.065
145 0.083 0. 0.083
146 0.066 0. 0.066
147 0.068 0. 0.068
148 0.069 0. 0.069
149 0.071 0. 0.071
150 0.096 0. 0.096
151 0.076 0. 0.076
152 0.096 0. 0.096
153 0.079 0. 0.079
154 0.101 0. 0.101
155 0.084 0. 0.084
156 0.094 0. 0.094
157 0.094 0.007 0.086
158 0.069 0. 0.069
159 0.094 0. 0.094
160 0.083 0. 0.083
161 0.098 0. 0.098
162 0.088 0. 0.088
163 0.093 0. 0.093
164 0.088 0. 0.088
165 0.091 0. 0.091
166 0.088 0. 0.088
167 0.092 0. 0.092
168 0.093 0. 0.093
169 0.128 0. 0.128
170 0.09 0. 0.09
171 0.113 0. 0.113
172 0.086 0. 0.086
173 0.098 0. 0.098
174 0.086 0. 0.086
175 0.076 0. 0.076
176 0.085 0.003 0.081
177 0.078 0. 0.078
178 0.082 0. 0.082
179 0.083 0. 0.083
180 0.079 0. 0.079
181 0.113 0.014 0.099
182 0.097 0. 0.097
183 0.1 0.008 0.092
184 0.097 0. 0.097
185 0.09 0. 0.09
186 0.091 0. 0.091
187 0.085 0. 0.085
188 0.088 0. 0.088
189 0.083 0. 0.083
190 0.101 0. 0.101
191 0.097 0. 0.097
192 0.133 0. 0.133
193 0.09 0. 0.09
194 0.107 0. 0.107
195 0.091 0. 0.091
196 0.105 0. 0.105
197 0.113 0. 0.113
198 0.092 0. 0.092
199 0.084 0. 0.084
200 0.09 0. 0.09
201 0.107 0. 0.107
202 0.104 0. 0.104
203 0.093 0. 0.093
204 0.095 0. 0.095
205 0.088 0. 0.088
206 0.104 0. 0.104
207 0.104 0. 0.104
208 0.092 0. 0.092
209 0.122 0. 0.122
210 0.109 0. 0.109
211 0.098 0. 0.098
212 0.094 0. 0.094
213 0.132 0. 0.132
214 0.145 0. 0.145
215 0.095 0. 0.095
216 0.138 0. 0.138
217 0.103 0. 0.103
218 0.102 0. 0.102
219 0.124 0. 0.124
220 0.117 0. 0.117
221 0.101 0. 0.101
222 0.134 0. 0.134
223 0.117 0. 0.117
224 0.107 0. 0.107
225 0.137 0. 0.137
226 0.122 0. 0.122
227 0.144 0. 0.144
228 0.101 0. 0.101
229 0.107 0. 0.107
230 0.166 0. 0.166
231 0.121 0. 0.121
232 0.107 0. 0.107
233 0.129 0.003 0.125
234 0.107 0. 0.107
235 0.111 0. 0.111
236 0.123 0.003 0.119
237 0.115 0. 0.115
238 0.101 0. 0.101
239 0.118 0.003 0.114
240 0.145 0. 0.145
241 0.122 0. 0.122
242 0.112 0. 0.112
243 0.115 0. 0.115
244 0.134 0. 0.134
245 0.118 0. 0.118
246 0.185 0. 0.185
247 0.142 0. 0.142
248 0.108 0. 0.108
249 0.121 0. 0.121
250 0.158 0. 0.158
251 0.129 0. 0.129
252 0.117 0. 0.117
253 0.123 0. 0.123
254 0.155 0. 0.155
255 0.144 0. 0.144
256 0.189 0. 0.189
257 0.231 0. 0.231
258 0.275 0. 0.275
259 0.251 0. 0.251
260 0.265 0. 0.265
261 0.267 0. 0.267
262 0.244 0. 0.244
263 0.291 0. 0.291
264 0.23 0. 0.23
265 0.309 0. 0.309
266 0.23 0. 0.23
267 0.301 0. 0.301
268 0.24 0. 0.24
269 0.29 0. 0.29
270 0.257 0. 0.257
271 0.293 0. 0.293
272 0.255 0. 0.255
273 0.28 0. 0.28
274 0.271 0. 0.271
275 0.27 0. 0.27
276 0.283 0. 0.283
277 0.255 0. 0.255
278 0.306 0. 0.306
279 0.239 0. 0.239
280 0.316 0. 0.316
281 0.242 0. 0.242
282 0.318 0. 0.318
283 0.239 0. 0.239
284 0.321 0. 0.321
285 0.252 0. 0.252
286 0.322 0. 0.322
287 0.242 0. 0.242
288 0.319 0. 0.319
289 0.246 0. 0.246
290 0.324 0. 0.324
291 0.263 0. 0.263
292 0.311 0. 0.311
293 0.251 0. 0.251
294 0.336 0. 0.336
295 0.252 0. 0.252
296 0.34 0. 0.34
297 0.254 0. 0.254
298 0.33 0. 0.33
299 0.257 0. 0.257
300 0.316 0.016 0.3
302 0.31 0.003 0.306
304 0.327 0.007 0.319
306 0.272 0.004 0.268
308 0.319 0. 0.319
310 0.251 0. 0.251
312 0.325 0. 0.325
314 0.258 0. 0.258
316 0.329 0. 0.329
318 0.265 0. 0.265
320 0.324 0. 0.324
322 0.282 0. 0.282
324 0.318 0. 0.318
326 0.296 0. 0.296
328 0.307 0. 0.306
330 0.313 0. 0.313
332 0.293 0. 0.293
334 0.332 0. 0.332
336 0.282 0. 0.282
338 0.344 0. 0.344
340 0.273 0. 0.273
342 0.346 0. 0.346
344 0.317 0. 0.317
346 0.311 0. 0.311
348 0.343 0. 0.343
350 0.292 0. 0.292
352 0.354 0. 0.354
354 0.291 0. 0.29
356 0.352 0. 0.352
358 0.324 0. 0.324
360 0.344 0.003 0.34
362 0.35 0. 0.35
364 0.302 0. 0.302
366 0.367 0. 0.367
368 0.291 0. 0.291
370 0.369 0. 0.369
372 0.309 0. 0.309
374 0.361 0. 0.361
376 0.339 0. 0.339
378 0.34 0. 0.34
380 0.362 0. 0.362
382 0.317 0. 0.317
384 0.379 0. 0.379
386 0.306 0. 0.306
388 0.382 0. 0.382
390 0.342 0. 0.342
392 0.353 0. 0.353
394 0.372 0. 0.372
396 0.331 0. 0.331
398 0.39 0. 0.39
400 0.313 0. 0.313
410 0.396 0. 0.396
420 0.382 0. 0.382
430 0.364 0. 0.364
440 0.419 0. 0.419
450 0.392 0. 0.392
460 0.39 0. 0.39
470 0.448 0. 0.448
480 0.424 0. 0.424
490 0.409 0. 0.409
500 0.467 0. 0.467
510 0.473 0. 0.473
520 0.437 0. 0.437
530 0.487 0.023 0.463
540 0.501 0. 0.501
550 0.48 0. 0.48
560 0.462 0. 0.462
570 0.525 0. 0.525
580 0.532 0. 0.532
590 0.499 0. 0.498
600 0.514 0. 0.514
610 0.58 0.003 0.576
620 0.559 0.003 0.555
630 0.489 0. 0.489
640 0.589 0. 0.589
650 0.595 0. 0.595
660 0.555 0. 0.555
670 0.565 0. 0.565
680 0.623 0. 0.623
690 0.631 0. 0.631
700 0.586 0. 0.586
800 0.688 0. 0.688
900 0.819 0.011 0.807
1000 0.905 0.027 0.877
1100 1.037 0.052 0.985
1200 1.168 0.027 1.14
1300 1.262 0.027 1.234
1400 1.276 0. 1.276
1500 1.471 0. 1.471
1600 1.705 0.027 1.677
1700 1.827 0. 1.827
1800 2.084 0.031 2.052
1900 2.348 0.039 2.308
