param-n do-100-pose-I-real do-100-pose-I-sys do-100-pose-I-user
0 0.003 0.003 0.
1 0.003 0.003 0.
2 0.003 0. 0.003
1000 0.082 0.004 0.078
1100 0.08 0. 0.08
1200 0.106 0.003 0.103
1300 0.115 0. 0.115
1400 0.102 0.003 0.098
1500 0.141 0. 0.141
1600 0.161 0.004 0.157
1700 0.123 0.011 0.111
1800 0.175 0. 0.175
1900 0.182 0.007 0.174
2000 0.211 0.007 0.203
2100 0.218 0. 0.218
2200 0.168 0.007 0.16
2300 0.174 0. 0.174
2400 0.256 0. 0.256
2500 0.271 0.016 0.255
2600 0.222 0. 0.222
2700 0.208 0. 0.208
2800 0.304 0.003 0.3
2900 0.325 0.003 0.321
3000 0.3 0.008 0.292
3100 0.225 0. 0.225
3200 0.274 0. 0.274
3300 0.304 0.004 0.3
3400 0.286 0.007 0.278
3500 0.363 0.004 0.359
3600 0.255 0.007 0.247
3700 0.277 0.007 0.269
3800 0.275 0.012 0.263
3900 0.381 0. 0.381
4000 0.381 0.008 0.373
4100 0.456 0.004 0.452
4200 0.461 0.007 0.453
4300 0.366 0.011 0.354
4400 0.335 0.019 0.315
4500 0.374 0. 0.374
4600 0.428 0. 0.428
4700 0.512 0.012 0.5
4800 0.489 0. 0.489
4900 0.601 0. 0.601
5000 0.384 0.004 0.38
5100 0.471 0.011 0.459
5200 0.398 0. 0.398
5300 0.417 0. 0.417
5400 0.528 0.004 0.524
5500 0.563 0.007 0.555
5600 0.559 0.007 0.551
5700 0.619 0.023 0.595
5800 0.577 0.016 0.561
5900 0.455 0.003 0.451
6000 0.44 0. 0.44
6100 0.446 0. 0.446
6200 0.462 0. 0.462
6300 0.489 0.015 0.474
6400 0.631 0.016 0.615
6500 0.65 0.015 0.634
6600 0.671 0.023 0.647
6700 0.691 0.007 0.683
6800 0.787 0.015 0.771
6900 0.528 0.016 0.512
7000 0.54 0.008 0.532
7100 0.567 0.015 0.551
7200 0.577 0.011 0.565
7300 0.576 0.008 0.568
7400 0.58 0. 0.58
7500 0.769 0. 0.769
7600 0.796 0. 0.796
7700 0.867 0.003 0.863
7800 0.846 0.024 0.822
7900 0.859 0.012 0.847
8000 0.861 0.016 0.845
8100 0.663 0.011 0.651
8200 0.677 0.024 0.653
8300 0.797 0.019 0.777
8400 0.685 0.012 0.673
8500 0.692 0. 0.692
8600 0.75 0. 0.75
8700 0.888 0. 0.888
8800 1.107 0. 1.107
8900 0.986 0.016 0.97
9000 0.956 0.008 0.948
9100 0.96 0.011 0.948
9200 0.978 0.011 0.966
9300 1.28 0.044 1.236
9400 1.018 0.015 1.002
9500 0.765 0.011 0.753
9600 0.776 0.012 0.764
9700 0.799 0.011 0.787
9800 0.789 0.007 0.781
9900 0.787 0. 0.787
10000 0.802 0. 0.802
10100 0.83 0. 0.83
10200 1.064 0. 1.064
10300 1.116 0.016 1.1
10400 1.142 0.007 1.134
10500 1.154 0.024 1.13
10600 1.167 0.007 1.159
10700 1.197 0.008 1.189
10800 1.197 0.036 1.161
10900 1.214 0.039 1.174
