param-n build-real build-sys build-user build-and-typecheck-real build-and-typecheck-sys build-and-typecheck-user typecheck-real typecheck-sys typecheck-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0. 0. 0. 0.
100 0.001 0. 0. 0.001 0. 0.001 0. 0. 0.
200 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
300 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
400 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
500 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
600 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
700 0.003 0. 0.003 0.004 0. 0.004 0. 0. 0.
800 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
900 0.004 0. 0.004 0.005 0. 0.005 0. 0. 0.
1000 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
1100 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
1200 0.008 0. 0.008 0.009 0. 0.009 0. 0. 0.
1300 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
1400 0.007 0. 0.007 0.008 0. 0.008 0. 0. 0.
1500 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
1600 0.008 0. 0.008 0.009 0. 0.009 0. 0. 0.
1700 0.009 0. 0.009 0.01 0. 0.01 0. 0. 0.
1800 0.009 0. 0.009 0.01 0. 0.01 0. 0. 0.
1900 0.01 0. 0.01 0.011 0. 0.011 0. 0. 0.
2000 0.01 0. 0.01 0.011 0. 0.011 0. 0. 0.
2100 0.012 0. 0.012 0.013 0. 0.013 0. 0. 0.
2200 0.013 0. 0.013 0.014 0. 0.014 0. 0. 0.
2300 0.012 0. 0.012 0.014 0. 0.013 0.001 0. 0.001
2400 0.014 0. 0.014 0.015 0. 0.015 0. 0. 0.
2500 0.013 0. 0.013 0.014 0. 0.014 0.001 0. 0.001
2600 0.017 0. 0.017 0.019 0. 0.019 0.001 0. 0.001
2700 0.015 0. 0.015 0.016 0. 0.016 0.001 0. 0.001
2800 0.017 0. 0.017 0.019 0. 0.019 0.001 0. 0.001
2900 0.016 0. 0.016 0.017 0. 0.017 0.001 0. 0.001
3000 0.017 0. 0.017 0.018 0. 0.018 0.001 0. 0.001
3100 0.019 0. 0.019 0.021 0. 0.021 0.001 0. 0.001
3200 0.021 0. 0.021 0.023 0. 0.023 0.001 0. 0.001
3300 0.022 0. 0.022 0.024 0. 0.024 0.001 0. 0.001
3400 0.024 0. 0.024 0.025 0. 0.025 0.001 0. 0.001
3500 0.024 0. 0.024 0.026 0. 0.026 0.001 0. 0.001
3600 0.025 0. 0.025 0.027 0. 0.027 0.001 0. 0.001
3700 0.024 0. 0.024 0.026 0. 0.026 0.001 0. 0.001
3800 0.021 0. 0.021 0.023 0. 0.023 0.001 0. 0.001
3900 0.023 0. 0.023 0.024 0. 0.024 0.001 0. 0.001
