param-n constr-real constr-sys constr-user make-uconstr-real make-uconstr-sys make-uconstr-user
0 0. 0. 0. 0. 0. 0.
1 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0.
100 0. 0. 0. 0.003 0.003 0.
200 0. 0. 0. 0.006 0. 0.006
300 0.001 0. 0.001 0.01 0.007 0.002
400 0.001 0. 0.001 0.06 0.004 0.056
500 0.001 0. 0.001 0.007 0. 0.007
600 0.002 0. 0.002 0.009 0. 0.009
700 0.002 0. 0.002 0.012 0. 0.012
800 0.003 0. 0.003 0.012 0. 0.012
900 0.004 0. 0.004 0.016 0. 0.016
1000 0.006 0. 0.006 0.015 0. 0.015
1100 0.008 0. 0.008 0.02 0. 0.02
1200 0.011 0. 0.011 0.024 0. 0.024
1300 0.012 0. 0.012 0.019 0. 0.019
1400 0.014 0. 0.014 0.021 0. 0.021
1500 0.02 0. 0.02 0.022 0. 0.022
1600 0.023 0. 0.023 0.024 0. 0.024
1700 0.027 0.003 0.024 0.026 0. 0.026
1800 0.032 0. 0.032 0.034 0. 0.034
1900 0.037 0. 0.037 0.032 0. 0.032
2000 0.041 0. 0.041 0.035 0. 0.035
2100 0.042 0. 0.042 0.034 0. 0.034
2200 0.052 0. 0.052 0.038 0. 0.038
2300 0.055 0. 0.055 0.046 0. 0.046
2400 0.064 0. 0.064 0.041 0. 0.04
2500 0.073 0. 0.073 0.046 0. 0.046
2600 0.074 0. 0.074 0.043 0. 0.043
2700 0.081 0. 0.081 0.052 0.003 0.049
2800 0.094 0. 0.094 0.057 0. 0.057
2900 0.096 0. 0.096 0.057 0. 0.057
3000 0.116 0. 0.116 0.056 0. 0.056
3100 0.102 0. 0.102 0.058 0. 0.058
3200 0.128 0. 0.128 0.062 0. 0.062
3300 0.144 0. 0.144 0.059 0. 0.059
3400 0.147 0. 0.147 0.063 0.003 0.059
3500 0.136 0. 0.136 0.058 0. 0.058
3600 0.159 0. 0.159 0.065 0. 0.065
3700 0.169 0. 0.168 0.074 0. 0.074
3800 0.178 0. 0.178 0.068 0. 0.068
3900 0.186 0. 0.186 0.078 0.003 0.074
4000 0.2 0. 0.2 0.073 0.003 0.069
4100 0.185 0. 0.185 0.082 0. 0.082
4200 0.209 0. 0.209 0.088 0.003 0.084
4300 0.211 0. 0.211 0.099 0. 0.099
4400 0.259 0. 0.259 0.089 0.003 0.085
4500 0.273 0. 0.272 0.09 0. 0.09
4600 0.278 0. 0.278 0.082 0. 0.082
4700 0.287 0. 0.286 0.087 0. 0.087
4800 0.299 0. 0.299 0.082 0. 0.082
4900 0.314 0. 0.314 0.084 0. 0.084
5000 0.325 0. 0.325 0.082 0. 0.082
5100 0.314 0. 0.314 0.091 0. 0.091
5200 0.308 0. 0.308 0.098 0.004 0.094
5300 0.311 0. 0.311 0.106 0.007 0.098
5400 0.363 0. 0.363 0.096 0. 0.096
5500 0.388 0. 0.388 0.121 0. 0.121
5600 0.367 0. 0.367 0.126 0. 0.126
5700 0.414 0. 0.414 0.119 0. 0.119
5800 0.37 0. 0.37 0.104 0. 0.104
5900 0.418 0. 0.418 0.103 0. 0.103
6000 0.429 0. 0.429 0.114 0. 0.114
6100 0.42 0. 0.42 0.114 0. 0.114
6200 0.431 0. 0.431 0.107 0. 0.107
6300 0.446 0. 0.446 0.105 0. 0.105
6400 0.47 0. 0.47 0.14 0. 0.14
6500 0.483 0. 0.483 0.146 0. 0.146
6600 0.516 0. 0.516 0.133 0. 0.133
6700 0.527 0. 0.527 0.133 0. 0.133
6800 0.525 0. 0.525 0.121 0. 0.121
6900 0.526 0. 0.526 0.119 0. 0.119
7000 0.617 0. 0.617 0.213 0.027 0.186
7500 0.629 0.003 0.626 0.148 0. 0.148
8000 0.708 0. 0.708 0.184 0. 0.184
8500 0.803 0.003 0.8 0.162 0. 0.162
9000 0.88 0.008 0.872 0.186 0.003 0.182
9500 1.001 0.003 0.997 0.206 0. 0.206
10000 1.067 0.003 1.063 0.209 0.003 0.205
10500 1.173 0.008 1.165 0.191 0. 0.191
11000 1.239 0.003 1.235 0.208 0. 0.208
11500 1.377 0. 1.377 0.254 0. 0.254
12000 1.502 0. 1.502 0.225 0. 0.225
12500 1.586 0. 1.586 0.231 0. 0.231
13000 1.714 0. 1.714 0.247 0. 0.247
13500 1.83 0.007 1.822 0.283 0. 0.283
14000 1.931 0.003 1.927 0.258 0.003 0.254
14500 2.116 0. 2.116 0.273 0. 0.273
