param-a-n param-fact-n beta-iota-fast-real beta-iota-fast-sys beta-iota-fast-user beta-iota-slow-real beta-iota-slow-sys beta-iota-slow-user unify-beta-iota-fast-real unify-beta-iota-fast-sys unify-beta-iota-fast-user unify-beta-iota-slow-real unify-beta-iota-slow-sys unify-beta-iota-slow-user
0 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
100 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
200 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
300 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
400 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
500 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
600 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
700 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
800 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
900 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1000 8 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
1100 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1200 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1300 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1400 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1500 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1600 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1700 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1800 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1900 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
2000 8 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2100 8 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0.002 0.
2200 8 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2300 8 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2400 8 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2500 8 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2600 8 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2700 8 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0.002 0. 0.002
2800 8 0.003 0. 0.003 0.002 0. 0.002 0.003 0.003 0. 0.002 0. 0.002
2900 8 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
3000 8 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3100 8 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
3200 8 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3300 8 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3400 8 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3500 8 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3600 8 0.003 0. 0.003 0.004 0. 0.004 0.003 0. 0.003 0.004 0. 0.004
3700 8 0.003 0. 0.003 0.004 0. 0.004 0.003 0. 0.003 0.004 0. 0.004
3800 8 0.003 0. 0.003 0.004 0. 0.004 0.003 0. 0.003 0.004 0. 0.004
3900 8 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4000 8 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4100 8 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4200 8 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4300 8 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4400 8 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4500 8 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4600 8 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005
4700 8 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
4800 8 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
4900 8 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5000 8 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005
5100 8 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005
5200 8 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
5300 8 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
5400 8 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
5500 8 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
5600 8 0.006 0. 0.006 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
5700 8 0.006 0. 0.006 0.005 0. 0.005 0.007 0. 0.006 0.006 0. 0.006
5800 8 0.006 0. 0.006 0.005 0. 0.005 0.007 0. 0.007 0.006 0. 0.006
5900 8 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006
6000 8 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007
6100 8 0.006 0. 0.006 0.007 0. 0.007 0.006 0. 0.006 0.007 0. 0.007
6200 8 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006
6300 8 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
6400 8 0.007 0. 0.007 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
6500 8 0.007 0. 0.007 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
6600 8 0.007 0. 0.007 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008
6700 8 0.007 0. 0.007 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008
6800 8 0.007 0. 0.007 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008
6900 8 0.007 0. 0.007 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008
7000 8 0.007 0. 0.007 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008
7100 8 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008
7200 8 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008
7300 8 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009
7400 8 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009
7500 8 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009
7600 8 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009
7700 8 0.008 0. 0.008 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009
7800 8 0.008 0. 0.008 0.009 0. 0.009 0.008 0. 0.008 0.009 0. 0.009
7900 8 0.009 0. 0.009 0.009 0. 0.009 0.009 0. 0.009 0.01 0. 0.01
8000 8 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009 0.011 0. 0.011
8100 8 0.009 0. 0.009 0.009 0. 0.009 0.01 0. 0.01 0.011 0. 0.011
8200 8 0.009 0. 0.009 0.009 0. 0.009 0.01 0. 0.01 0.01 0.003 0.006
8300 8 0.009 0. 0.009 0.009 0. 0.009 0.01 0. 0.01 0.01 0. 0.01
8400 8 0.009 0. 0.009 0.009 0. 0.009 0.01 0. 0.01 0.01 0. 0.01
8500 8 0.009 0. 0.009 0.009 0. 0.009 0.01 0. 0.01 0.011 0. 0.011
8600 8 0.009 0. 0.009 0.009 0. 0.009 0.01 0. 0.01 0.011 0. 0.011
8700 8 0.009 0. 0.009 0.01 0. 0.01 0.01 0. 0.01 0.011 0. 0.011
8800 8 0.01 0. 0.01 0.01 0. 0.01 0.01 0. 0.01 0.011 0. 0.011
8900 8 0.01 0. 0.01 0.01 0. 0.01 0.011 0. 0.011 0.012 0. 0.012
9000 8 0.01 0. 0.01 0.01 0. 0.01 0.011 0. 0.011 0.011 0. 0.011
9100 8 0.01 0. 0.01 0.01 0. 0.01 0.011 0. 0.011 0.011 0. 0.011
9200 8 0.01 0. 0.01 0.01 0. 0.01 0.011 0. 0.011 0.011 0. 0.011
9300 8 0.01 0. 0.01 0.01 0. 0.01 0.011 0. 0.011 0.011 0. 0.011
9400 8 0.01 0. 0.01 0.01 0. 0.01 0.012 0. 0.012 0.011 0. 0.011
9500 8 0.01 0. 0.01 0.01 0. 0.01 0.012 0. 0.012 0.011 0. 0.011
9600 8 0.01 0. 0.01 0.01 0. 0.01 0.012 0. 0.012 0.011 0. 0.011
9700 8 0.01 0. 0.01 0.01 0. 0.01 0.011 0. 0.011 0.011 0. 0.011
9800 8 0.01 0. 0.01 0.01 0. 0.01 0.011 0. 0.011 0.012 0. 0.012
9900 8 0.011 0. 0.011 0.01 0. 0.01 0.012 0. 0.012 0.012 0. 0.012
10000 8 0.011 0. 0.011 0.011 0. 0.011 0.012 0. 0.012 0.012 0. 0.012
10100 8 0.011 0. 0.011 0.011 0. 0.011 0.012 0. 0.012 0.012 0. 0.012
10200 8 0.011 0. 0.011 0.011 0. 0.011 0.012 0. 0.012 0.012 0. 0.012
10300 8 0.011 0. 0.011 0.011 0. 0.011 0.012 0. 0.012 0.013 0. 0.013
10400 8 0.011 0. 0.011 0.011 0. 0.011 0.012 0. 0.012 0.013 0. 0.013
10500 8 0.011 0. 0.011 0.011 0. 0.011 0.012 0. 0.012 0.013 0. 0.013
10600 8 0.012 0. 0.012 0.011 0. 0.011 0.013 0. 0.013 0.013 0. 0.013
10700 8 0.012 0. 0.012 0.011 0. 0.011 0.013 0. 0.013 0.013 0. 0.013
10800 8 0.012 0. 0.012 0.012 0. 0.012 0.014 0. 0.014 0.013 0. 0.013
10900 8 0.012 0. 0.012 0.012 0. 0.012 0.014 0. 0.014 0.014 0. 0.014
11000 8 0.012 0. 0.012 0.012 0. 0.012 0.014 0. 0.014 0.014 0. 0.014
11100 8 0.013 0. 0.013 0.012 0. 0.012 0.014 0. 0.014 0.014 0. 0.014
11200 8 0.013 0. 0.013 0.012 0. 0.012 0.016 0. 0.016 0.013 0. 0.013
11300 8 0.013 0. 0.013 0.012 0. 0.012 0.014 0. 0.014 0.013 0. 0.013
11400 8 0.013 0. 0.013 0.012 0. 0.012 0.015 0. 0.015 0.014 0. 0.013
11500 8 0.012 0. 0.012 0.012 0. 0.012 0.014 0. 0.014 0.014 0. 0.014
11600 8 0.013 0. 0.013 0.012 0. 0.012 0.014 0. 0.014 0.015 0. 0.015
11700 8 0.013 0. 0.013 0.013 0. 0.013 0.015 0. 0.015 0.015 0. 0.015
11800 8 0.013 0. 0.013 0.013 0. 0.013 0.014 0. 0.014 0.016 0. 0.016
11900 8 0.013 0. 0.013 0.013 0. 0.013 0.016 0. 0.016 0.015 0. 0.015
12000 8 0.013 0. 0.013 0.014 0. 0.014 0.016 0. 0.016 0.015 0. 0.015
12100 8 0.014 0. 0.014 0.013 0. 0.013 0.016 0. 0.015 0.014 0. 0.014
12200 8 0.014 0. 0.014 0.014 0. 0.014 0.015 0. 0.015 0.015 0. 0.015
12300 8 0.014 0. 0.014 0.013 0. 0.013 0.015 0. 0.015 0.015 0. 0.015
12400 8 0.014 0. 0.014 0.014 0. 0.014 0.015 0. 0.015 0.015 0. 0.015
12500 8 0.013 0. 0.013 0.014 0. 0.014 0.015 0. 0.015 0.018 0. 0.018
12600 8 0.014 0. 0.014 0.015 0. 0.015 0.015 0. 0.015 0.018 0. 0.018
12700 8 0.014 0. 0.014 0.015 0. 0.015 0.016 0. 0.016 0.018 0. 0.018
12800 8 0.014 0. 0.014 0.014 0. 0.014 0.016 0. 0.016 0.015 0. 0.015
12900 8 0.015 0. 0.015 0.014 0. 0.014 0.016 0. 0.016 0.017 0. 0.017
13000 8 0.014 0. 0.014 0.015 0. 0.015 0.016 0. 0.016 0.016 0. 0.016
13100 8 0.014 0. 0.014 0.014 0. 0.014 0.016 0. 0.016 0.016 0. 0.016
13200 8 0.014 0. 0.014 0.014 0. 0.014 0.016 0. 0.016 0.016 0. 0.016
13300 8 0.015 0. 0.015 0.014 0. 0.014 0.017 0. 0.017 0.016 0. 0.016
13400 8 0.015 0. 0.015 0.015 0. 0.015 0.018 0. 0.018 0.018 0. 0.017
13500 8 0.015 0. 0.015 0.015 0. 0.015 0.017 0. 0.017 0.018 0. 0.018
13600 8 0.016 0. 0.015 0.015 0. 0.015 0.018 0. 0.018 0.019 0. 0.019
13700 8 0.016 0. 0.015 0.016 0. 0.016 0.018 0. 0.018 0.019 0. 0.019
13800 8 0.015 0. 0.015 0.016 0. 0.016 0.018 0. 0.018 0.018 0. 0.018
13900 8 0.016 0. 0.016 0.016 0. 0.016 0.018 0. 0.018 0.018 0. 0.018
14000 8 0.016 0. 0.016 0.016 0. 0.016 0.019 0. 0.019 0.018 0. 0.018
14100 8 0.016 0. 0.016 0.016 0. 0.016 0.019 0. 0.019 0.018 0. 0.018
14200 8 0.016 0. 0.016 0.016 0. 0.016 0.02 0. 0.02 0.018 0. 0.018
14300 8 0.016 0. 0.016 0.016 0. 0.016 0.021 0. 0.021 0.019 0. 0.019
14400 8 0.016 0. 0.016 0.017 0. 0.017 0.02 0. 0.02 0.019 0. 0.019
14500 8 0.017 0. 0.017 0.017 0. 0.017 0.018 0. 0.018 0.018 0. 0.018
14600 8 0.017 0. 0.017 0.016 0. 0.016 0.018 0. 0.018 0.019 0. 0.019
14700 8 0.017 0. 0.017 0.016 0. 0.016 0.018 0. 0.018 0.021 0. 0.021
14800 8 0.017 0. 0.017 0.016 0. 0.016 0.018 0. 0.018 0.018 0. 0.018
14900 8 0.016 0. 0.016 0.016 0. 0.016 0.019 0. 0.019 0.018 0. 0.018
15000 8 0.016 0. 0.016 0.016 0. 0.016 0.019 0. 0.019 0.019 0. 0.019
15100 8 0.016 0. 0.016 0.017 0. 0.017 0.018 0. 0.018 0.019 0. 0.019
15200 8 0.016 0. 0.016 0.017 0. 0.017 0.018 0. 0.018 0.022 0. 0.022
15300 8 0.016 0. 0.016 0.018 0. 0.018 0.019 0. 0.019 0.023 0. 0.023
15400 8 0.017 0. 0.017 0.018 0. 0.018 0.019 0. 0.019 0.02 0. 0.02
15500 8 0.017 0. 0.017 0.017 0. 0.017 0.019 0. 0.019 0.02 0. 0.02
15600 8 0.017 0.004 0.013 0.017 0. 0.017 0.02 0. 0.02 0.02 0. 0.02
15700 8 0.017 0. 0.017 0.017 0. 0.017 0.02 0.004 0.016 0.019 0. 0.019
15800 8 0.017 0. 0.017 0.017 0. 0.017 0.021 0. 0.021 0.02 0. 0.02
15900 8 0.018 0. 0.017 0.017 0. 0.017 0.021 0. 0.021 0.021 0. 0.021
16000 8 0.018 0. 0.018 0.018 0. 0.018 0.022 0. 0.022 0.023 0. 0.023
16100 8 0.018 0. 0.018 0.019 0. 0.019 0.024 0. 0.024 0.021 0. 0.021
16200 8 0.02 0. 0.02 0.018 0. 0.018 0.024 0. 0.024 0.021 0. 0.021
16300 8 0.019 0. 0.019 0.018 0. 0.018 0.024 0. 0.024 0.021 0. 0.021
16400 8 0.02 0. 0.02 0.018 0. 0.018 0.024 0. 0.024 0.021 0. 0.021
16500 8 0.02 0. 0.02 0.018 0. 0.018 0.024 0. 0.024 0.021 0. 0.021
16600 8 0.02 0. 0.02 0.018 0. 0.018 0.023 0. 0.023 0.021 0. 0.021
16700 8 0.02 0. 0.02 0.019 0. 0.019 0.025 0. 0.025 0.023 0. 0.023
16800 8 0.02 0. 0.02 0.019 0. 0.019 0.024 0. 0.024 0.024 0. 0.024
16900 8 0.019 0. 0.019 0.019 0. 0.019 0.024 0. 0.024 0.024 0. 0.024
17000 8 0.019 0. 0.019 0.019 0. 0.019 0.024 0. 0.024 0.023 0. 0.023
17100 8 0.02 0. 0.02 0.019 0. 0.019 0.024 0. 0.024 0.024 0. 0.024
17200 8 0.019 0. 0.019 0.02 0. 0.02 0.023 0. 0.023 0.023 0. 0.023
17300 8 0.019 0. 0.019 0.019 0. 0.019 0.022 0. 0.022 0.023 0. 0.023
17400 8 0.019 0. 0.019 0.019 0. 0.019 0.023 0. 0.023 0.024 0. 0.024
17500 8 0.019 0. 0.019 0.02 0. 0.02 0.023 0. 0.023 0.025 0. 0.025
17600 8 0.02 0. 0.02 0.02 0. 0.02 0.025 0. 0.025 0.025 0. 0.025
17700 8 0.02 0. 0.02 0.02 0. 0.02 0.026 0. 0.026 0.025 0. 0.025
17800 8 0.021 0. 0.021 0.02 0. 0.02 0.027 0. 0.027 0.025 0. 0.025
17900 8 0.021 0. 0.021 0.021 0. 0.021 0.024 0. 0.024 0.026 0. 0.026
18000 8 0.021 0. 0.021 0.021 0. 0.021 0.024 0. 0.024 0.023 0. 0.023
18100 8 0.021 0. 0.021 0.02 0. 0.02 0.024 0. 0.024 0.024 0. 0.024
18200 8 0.02 0. 0.02 0.02 0. 0.02 0.024 0. 0.024 0.024 0. 0.024
18300 8 0.02 0. 0.02 0.02 0. 0.02 0.024 0. 0.024 0.024 0. 0.024
18400 8 0.02 0. 0.02 0.02 0. 0.02 0.026 0. 0.026 0.024 0. 0.024
18500 8 0.02 0. 0.02 0.02 0. 0.02 0.023 0. 0.023 0.024 0. 0.024
18600 8 0.021 0. 0.021 0.021 0. 0.021 0.023 0. 0.023 0.024 0. 0.024
