param-a-n param-fact-n abstract-unify-beta-iota-fast-real abstract-unify-beta-iota-fast-sys abstract-unify-beta-iota-fast-user abstract-unify-beta-iota-slow-real abstract-unify-beta-iota-slow-sys abstract-unify-beta-iota-slow-user beta-iota-fast-real beta-iota-fast-sys beta-iota-fast-user beta-iota-slow-real beta-iota-slow-sys beta-iota-slow-user unify-beta-iota-fast-real unify-beta-iota-fast-sys unify-beta-iota-fast-user unify-beta-iota-slow-real unify-beta-iota-slow-sys unify-beta-iota-slow-user
0 9 0. 0. 0. 1.834 0.023 1.81 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 9 0. 0. 0. 1.792 0. 1.792 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 9 0. 0. 0. 1.792 0. 1.792 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
100 9 0.003 0. 0.003 1.655 0.012 1.643 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
200 9 0.005 0. 0.005 1.623 0. 1.623 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
300 9 0.009 0. 0.009 1.63 0. 1.63 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
400 9 0.012 0. 0.012 1.632 0. 1.632 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
500 9 0.014 0. 0.014 1.637 0. 1.637 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
600 9 0.017 0. 0.017 1.636 0. 1.636 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
700 9 0.021 0. 0.021 1.638 0. 1.638 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
800 9 0.023 0. 0.023 1.641 0. 1.641 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
900 9 0.027 0. 0.027 1.644 0. 1.644 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1000 9 0.03 0. 0.03 1.65 0. 1.65 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0. 0. 0.
1100 9 0.033 0. 0.033 1.856 0.015 1.84 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1200 9 0.037 0. 0.037 1.827 0. 1.827 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1300 9 0.04 0. 0.04 1.836 0. 1.836 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1400 9 0.043 0. 0.043 1.845 0.003 1.841 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1500 9 0.046 0. 0.046 1.837 0. 1.837 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1600 9 0.05 0. 0.05 1.855 0. 1.855 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1700 9 0.052 0. 0.052 1.871 0. 1.871 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1800 9 0.057 0. 0.057 1.867 0. 1.867 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1900 9 0.06 0. 0.06 1.872 0. 1.872 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.002 0. 0.002
2000 9 0.063 0. 0.063 1.872 0. 1.872 0.001 0. 0.001 0.001 0. 0.001 0.002 0. 0.002 0.001 0. 0.001
2100 9 0.065 0. 0.065 1.881 0. 1.881 0.002 0. 0.002 0.001 0. 0.001 0.002 0. 0.002 0.002 0. 0.002
2200 9 0.069 0. 0.069 1.852 0. 1.852 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2300 9 0.072 0. 0.072 1.839 0.003 1.835 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2400 9 0.074 0. 0.074 1.856 0. 1.856 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2500 9 0.078 0. 0.078 1.854 0. 1.854 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2600 9 0.085 0. 0.085 1.863 0. 1.863 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2700 9 0.084 0. 0.084 1.878 0. 1.877 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2800 9 0.087 0. 0.087 1.849 0. 1.849 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2900 9 0.094 0. 0.094 1.84 0. 1.84 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0.002 0. 0.002
3000 9 0.097 0. 0.097 1.817 0. 1.817 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
