Params: a-n= 100 , fact-n= 8
Tactic call beta-iota-slow ran for 0. secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0. secs (0.u,0.s) (success)
Params: a-n= 200 , fact-n= 8
Tactic call beta-iota-slow ran for 0. secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0. secs (0.u,0.s) (success)
Params: a-n= 300 , fact-n= 8
Tactic call beta-iota-slow ran for 0. secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0. secs (0.u,0.s) (success)
Params: a-n= 400 , fact-n= 8
Tactic call beta-iota-slow ran for 0. secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0. secs (0.u,0.s) (success)
Params: a-n= 500 , fact-n= 8
Tactic call beta-iota-slow ran for 0. secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0. secs (0.u,0.s) (success)
Params: a-n= 600 , fact-n= 8
Tactic call beta-iota-slow ran for 0. secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0. secs (0.u,0.s) (success)
Params: a-n= 700 , fact-n= 8
Tactic call beta-iota-slow ran for 0. secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0. secs (0.u,0.s) (success)
Params: a-n= 800 , fact-n= 8
Tactic call beta-iota-slow ran for 0. secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0. secs (0.u,0.s) (success)
Params: a-n= 900 , fact-n= 8
Tactic call beta-iota-slow ran for 0. secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0. secs (0.u,0.s) (success)
Params: a-n= 1000 , fact-n= 8
Tactic call beta-iota-slow ran for 0. secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
