Params: a-n= 1100 , fact-n= 8
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.032 secs (0.032u,0.s) (success)
Params: a-n= 1200 , fact-n= 8
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.035 secs (0.035u,0.s) (success)
Params: a-n= 1300 , fact-n= 8
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.037 secs (0.037u,0.s) (success)
Params: a-n= 1400 , fact-n= 8
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.041 secs (0.041u,0.s) (success)
Params: a-n= 1500 , fact-n= 8
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.045 secs (0.045u,0.s) (success)
Params: a-n= 1600 , fact-n= 8
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.048 secs (0.048u,0.s) (success)
Params: a-n= 1700 , fact-n= 8
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.051 secs (0.051u,0.s) (success)
Params: a-n= 1800 , fact-n= 8
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.u,0.001s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.055 secs (0.055u,0.s) (success)
