param-n build-real build-sys build-user build-and-typecheck-real build-and-typecheck-sys build-and-typecheck-user typecheck-real typecheck-sys typecheck-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0. 0. 0. 0.
100 0.001 0. 0. 0.001 0. 0.001 0. 0. 0.
200 0.002 0.002 0. 0.003 0.003 0. 0. 0. 0.
300 0.003 0. 0.003 0.004 0. 0.004 0. 0. 0.
400 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
500 0.002 0. 0.002 0.003 0. 0.003 0. 0. 0.
600 0.003 0. 0.003 0.004 0. 0.004 0. 0. 0.
700 0.004 0. 0.004 0.005 0. 0.005 0. 0. 0.
800 0.004 0. 0.004 0.005 0. 0.005 0. 0. 0.
900 0.005 0. 0.005 0.006 0. 0.006 0.001 0. 0.001
1000 0.005 0. 0.005 0.007 0. 0.007 0.001 0. 0.001
1100 0.006 0. 0.006 0.008 0. 0.007 0.001 0. 0.001
1200 0.007 0. 0.007 0.008 0. 0.008 0.001 0. 0.001
1300 0.008 0. 0.008 0.01 0. 0.01 0.001 0. 0.001
1400 0.008 0. 0.008 0.012 0. 0.012 0.004 0. 0.004
1500 0.008 0. 0.008 0.01 0. 0.01 0.001 0. 0.001
1600 0.009 0. 0.009 0.011 0. 0.011 0.002 0. 0.001
1700 0.01 0. 0.009 0.012 0. 0.012 0.002 0. 0.002
1800 0.011 0. 0.011 0.014 0. 0.014 0.002 0. 0.002
1900 0.012 0. 0.012 0.015 0. 0.015 0.002 0. 0.002
2000 0.011 0. 0.011 0.014 0. 0.014 0.002 0. 0.002
2100 0.012 0. 0.012 0.015 0. 0.015 0.002 0. 0.002
2200 0.014 0. 0.014 0.016 0. 0.016 0.002 0. 0.002
2300 0.013 0. 0.013 0.016 0. 0.016 0.003 0. 0.003
2400 0.014 0. 0.014 0.022 0. 0.022 0.008 0. 0.008
2500 0.015 0. 0.015 0.018 0. 0.018 0.003 0. 0.003
2600 0.017 0. 0.017 0.02 0. 0.02 0.003 0. 0.003
2700 0.016 0. 0.016 0.019 0. 0.019 0.003 0. 0.003
2800 0.018 0. 0.018 0.022 0. 0.022 0.003 0. 0.003
2900 0.021 0. 0.021 0.025 0. 0.025 0.003 0. 0.003
3000 0.024 0. 0.024 0.028 0. 0.028 0.003 0. 0.003
3100 0.018 0. 0.018 0.029 0. 0.029 0.011 0. 0.011
3200 0.019 0. 0.019 0.029 0. 0.029 0.01 0. 0.01
3300 0.02 0. 0.02 0.03 0. 0.03 0.01 0. 0.01
3400 0.026 0. 0.026 0.031 0. 0.031 0.004 0. 0.004
3500 0.027 0. 0.027 0.031 0. 0.031 0.004 0. 0.004
3600 0.026 0. 0.026 0.031 0. 0.031 0.004 0. 0.004
3700 0.026 0. 0.026 0.031 0. 0.031 0.004 0. 0.004
3800 0.022 0. 0.022 0.029 0. 0.029 0.006 0. 0.006
