param-n constr-real constr-sys constr-user make-uconstr-real make-uconstr-sys make-uconstr-user
0 0. 0. 0. 0. 0. 0.
1 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0.
100 0. 0. 0. 0.003 0. 0.003
200 0. 0. 0. 0.006 0. 0.006
300 0.001 0. 0.001 0.009 0. 0.009
400 0.001 0. 0.001 0.053 0.004 0.049
500 0.001 0. 0.001 0.007 0. 0.007
600 0.002 0. 0.002 0.008 0. 0.008
700 0.002 0. 0.002 0.011 0. 0.011
800 0.004 0. 0.004 0.011 0. 0.011
900 0.005 0. 0.005 0.015 0. 0.015
1000 0.006 0. 0.006 0.014 0. 0.014
1100 0.007 0. 0.007 0.018 0. 0.018
1200 0.011 0. 0.011 0.023 0. 0.023
1300 0.013 0. 0.013 0.019 0. 0.019
1400 0.014 0. 0.014 0.021 0. 0.021
1500 0.018 0. 0.018 0.022 0. 0.022
1600 0.025 0. 0.025 0.023 0. 0.023
1700 0.025 0. 0.025 0.025 0. 0.025
1800 0.033 0. 0.033 0.032 0. 0.032
1900 0.038 0. 0.038 0.03 0. 0.03
2000 0.038 0. 0.038 0.034 0. 0.034
2100 0.044 0. 0.044 0.033 0. 0.033
2200 0.055 0. 0.055 0.035 0. 0.035
2300 0.06 0. 0.06 0.042 0. 0.042
2400 0.061 0. 0.06 0.039 0. 0.039
2500 0.069 0. 0.069 0.045 0. 0.045
2600 0.075 0. 0.075 0.04 0. 0.04
2700 0.087 0. 0.087 0.046 0. 0.046
2800 0.095 0. 0.095 0.051 0. 0.051
2900 0.103 0. 0.103 0.051 0. 0.051
3000 0.113 0.003 0.109 0.049 0. 0.049
3100 0.099 0.003 0.095 0.054 0. 0.054
3200 0.12 0. 0.12 0.058 0. 0.058
3300 0.137 0. 0.137 0.056 0. 0.056
3400 0.147 0. 0.147 0.06 0.003 0.056
3500 0.127 0. 0.127 0.053 0. 0.053
3600 0.169 0. 0.169 0.061 0. 0.061
3700 0.164 0.008 0.156 0.066 0.003 0.062
3800 0.185 0. 0.185 0.062 0. 0.062
3900 0.19 0.003 0.186 0.069 0. 0.069
4000 0.21 0. 0.21 0.066 0. 0.066
4100 0.175 0. 0.175 0.073 0. 0.073
4200 0.196 0. 0.196 0.078 0. 0.078
4300 0.209 0. 0.209 0.089 0.003 0.085
4400 0.264 0. 0.264 0.084 0. 0.084
4500 0.272 0. 0.272 0.087 0. 0.087
4600 0.283 0. 0.283 0.076 0. 0.076
4700 0.294 0. 0.294 0.083 0. 0.083
4800 0.291 0. 0.291 0.08 0. 0.08
4900 0.308 0. 0.306 0.084 0. 0.084
5000 0.339 0. 0.339 0.079 0. 0.079
5100 0.309 0. 0.309 0.086 0. 0.086
5200 0.298 0. 0.298 0.096 0. 0.096
5300 0.31 0. 0.309 0.097 0. 0.097
5400 0.371 0. 0.371 0.088 0. 0.088
5500 0.4 0. 0.4 0.115 0. 0.115
5600 0.35 0. 0.35 0.118 0. 0.118
5700 0.412 0. 0.412 0.11 0. 0.11
5800 0.361 0. 0.361 0.104 0. 0.104
5900 0.399 0. 0.399 0.098 0. 0.098
6000 0.439 0. 0.439 0.11 0. 0.11
6100 0.408 0. 0.408 0.109 0. 0.109
6200 0.425 0. 0.425 0.104 0. 0.104
6300 0.465 0. 0.465 0.103 0. 0.103
6400 0.464 0. 0.464 0.146 0. 0.146
6500 0.485 0. 0.485 0.141 0. 0.141
6600 0.533 0. 0.533 0.121 0. 0.121
6700 0.539 0. 0.539 0.13 0. 0.13
6800 0.512 0. 0.512 0.117 0. 0.117
6900 0.507 0. 0.507 0.119 0. 0.119
7000 0.613 0.004 0.608 0.217 0.016 0.2
7500 0.642 0. 0.641 0.15 0. 0.15
8000 0.711 0. 0.71 0.181 0. 0.181
8500 0.802 0.007 0.793 0.16 0. 0.16
9000 0.88 0. 0.879 0.183 0. 0.183
9500 1.026 0.003 1.021 0.205 0. 0.205
10000 1.097 0.004 1.092 0.215 0.003 0.211
10500 1.214 0.003 1.209 0.203 0.003 0.199
11000 1.281 0. 1.277 0.22 0.003 0.216
11500 1.428 0. 1.424 0.265 0. 0.264
12000 1.531 0. 1.526 0.233 0. 0.233
12500 1.638 0. 1.637 0.25 0. 0.25
13000 1.762 0. 1.761 0.254 0. 0.253
13500 1.898 0. 1.897 0.294 0. 0.293
14000 2.031 0.003 2.026 0.274 0.007 0.266
14500 2.224 0. 2.222 0.282 0. 0.282
