param-a-ctx-size param-extra-binders param-nevars beta-F-ev-real beta-F-ev-sys beta-F-ev-user beta-F-tt-real beta-F-tt-sys beta-F-tt-user beta-FX-ev-real beta-FX-ev-sys beta-FX-ev-user beta-FX-tt-real beta-FX-tt-sys beta-FX-tt-user deta-id-FX-ev-real deta-id-FX-ev-sys deta-id-FX-ev-user deta-id-FX-tt-real deta-id-FX-tt-sys deta-id-FX-tt-user make-evars-real make-evars-sys make-evars-user make-fun-ev-real make-fun-ev-sys make-fun-ev-user make-fun-tt-real make-fun-tt-sys make-fun-tt-user make-tts-real make-tts-sys make-tts-user open-constr-F-ev-real open-constr-F-ev-sys open-constr-F-ev-user open-constr-F-tt-real open-constr-F-tt-sys open-constr-F-tt-user open-constr-FX-ev-real open-constr-FX-ev-sys open-constr-FX-ev-user open-constr-FX-tt-real open-constr-FX-tt-sys open-constr-FX-tt-user prebeta-FX-ev-real prebeta-FX-ev-sys prebeta-FX-ev-user prebeta-FX-tt-real prebeta-FX-tt-sys prebeta-FX-tt-user
1 100 1000 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.017 0. 0.017 0.012 0. 0.012 0.023 0. 0.023 0.017 0. 0.017 0. 0. 0. 0. 0. 0. 0.021 0. 0.02 0.006 0. 0.006 0. 0. 0. 0. 0. 0.
2 100 1000 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.017 0. 0.017 0.011 0. 0.011 0.023 0. 0.023 0.017 0. 0.017 0. 0. 0. 0. 0. 0. 0.019 0. 0.019 0.006 0. 0.006 0. 0. 0. 0. 0. 0.
3 100 1000 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.017 0. 0.017 0.012 0. 0.012 0.023 0. 0.023 0.017 0. 0.017 0. 0. 0. 0. 0. 0. 0.02 0. 0.02 0.006 0. 0.006 0. 0. 0. 0. 0. 0.
100 100 1000 0. 0. 0. 0. 0. 0. 0.01 0. 0.01 0. 0. 0. 0.009 0. 0.009 0. 0. 0. 0.03 0. 0.03 0.012 0. 0.012 0.025 0. 0.024 0.042 0. 0.042 0. 0. 0. 0. 0. 0. 0.057 0. 0.057 0.01 0. 0.01 0.009 0. 0.009 0. 0. 0.
200 100 1000 0. 0. 0. 0. 0. 0. 0.062 0. 0.062 0. 0. 0. 0.011 0. 0.011 0. 0. 0. 0.052 0. 0.052 0.012 0. 0.012 0.026 0. 0.026 0.08 0. 0.08 0. 0. 0. 0. 0. 0. 0.124 0.003 0.12 0.014 0. 0.013 0.01 0. 0.01 0. 0. 0.
300 100 1000 0. 0. 0. 0. 0. 0. 0.127 0.003 0.123 0. 0. 0. 0.209 0.003 0.205 0. 0. 0. 0.154 0. 0.154 0.013 0. 0.013 0.028 0. 0.028 0.202 0. 0.202 0. 0. 0. 0. 0. 0. 0.492 0.003 0.488 0.021 0. 0.021 0.021 0.008 0.013 0. 0. 0.
400 100 1000 0. 0. 0. 0. 0. 0. 0.131 0.003 0.127 0. 0. 0. 0.173 0.015 0.157 0. 0. 0. 0.253 0. 0.253 0.013 0. 0.013 0.028 0. 0.028 0.317 0. 0.316 0. 0. 0. 0. 0. 0. 0.583 0. 0.582 0.029 0. 0.029 0.022 0. 0.022 0. 0. 0.
500 100 1000 0. 0. 0. 0. 0. 0. 0.202 0.003 0.198 0. 0. 0. 0.216 0.016 0.2 0. 0. 0. 0.36 0. 0.36 0.012 0. 0.012 0.028 0. 0.028 0.456 0. 0.455 0. 0. 0. 0. 0. 0. 0.674 0.007 0.665 0.042 0. 0.042 0.029 0.003 0.025 0. 0. 0.
600 100 1000 0. 0. 0. 0. 0. 0. 0.228 0.011 0.216 0. 0. 0. 0.225 0.008 0.217 0. 0. 0. 0.484 0. 0.483 0.013 0. 0.013 0.028 0. 0.028 0.627 0. 0.626 0. 0. 0. 0. 0. 0. 0.8 0.007 0.791 0.062 0. 0.062 0.035 0. 0.035 0. 0. 0.
700 100 1000 0. 0. 0. 0. 0. 0. 0.182 0.012 0.17 0. 0. 0. 0.305 0.019 0.285 0. 0. 0. 0.649 0. 0.648 0.012 0. 0.012 0.029 0. 0.029 0.814 0. 0.813 0. 0. 0. 0. 0. 0. 0.988 0.027 0.959 0.079 0. 0.079 0.042 0. 0.042 0. 0. 0.
800 100 1000 0. 0. 0. 0. 0. 0. 0.188 0.003 0.183 0. 0. 0. 0.194 0.019 0.174 0. 0. 0. 0.854 0. 0.853 0.012 0. 0.012 0.029 0. 0.029 1.018 0. 1.015 0. 0. 0. 0. 0. 0. 1.158 0.019 1.137 0.094 0. 0.094 0.049 0. 0.049 0.001 0. 0.001
900 100 1000 0. 0. 0. 0. 0. 0. 0.325 0.019 0.304 0. 0. 0. 0.32 0.019 0.299 0.001 0. 0.001 1.047 0. 1.043 0.013 0. 0.013 0.029 0. 0.029 1.24 0. 1.238 0. 0. 0. 0. 0. 0. 1.273 0.051 1.217 0.112 0. 0.112 0.074 0. 0.074 0.001 0. 0.001
1000 100 1000 0. 0. 0. 0. 0. 0. 0.229 0.008 0.221 0. 0. 0. 0.531 0.015 0.514 0. 0. 0. 1.224 0.007 1.214 0.012 0. 0.012 0.029 0. 0.029 1.441 0. 1.44 0. 0. 0. 0. 0. 0. 1.473 0.051 1.42 0.131 0. 0.13 0.063 0.007 0.055 0. 0. 0.
1100 100 1000 0. 0. 0. 0. 0. 0. 0.193 0.028 0.165 0. 0. 0. 0.221 0.028 0.193 0. 0. 0. 1.451 0.056 1.395 0.013 0. 0.012 0.029 0. 0.029 1.606 0. 1.606 0. 0. 0. 0. 0. 0. 1.558 0.051 1.506 0.144 0. 0.143 0.074 0.011 0.062 0. 0. 0.
1200 100 1000 0. 0. 0. 0. 0. 0. 0.242 0.02 0.222 0. 0. 0. 0.302 0.023 0.278 0. 0. 0. 1.675 0.015 1.658 0.012 0. 0.012 0.029 0. 0.029 1.843 0. 1.843 0. 0. 0. 0. 0. 0. 1.738 0.06 1.678 0.159 0. 0.159 0.074 0.003 0.07 0.001 0. 0.001
1300 100 1000 0. 0. 0. 0. 0. 0. 0.41 0.016 0.394 0. 0. 0. 0.373 0.011 0.361 0.001 0. 0. 1.922 0.031 1.89 0.012 0. 0.012 0.029 0. 0.029 2.099 0.003 2.095 0. 0. 0. 0. 0. 0. 1.807 0.035 1.771 0.178 0. 0.178 0.065 0.02 0.045 0.001 0. 0.001
1400 100 1000 0. 0. 0. 0. 0. 0. 0.434 0.012 0.422 0. 0. 0. 0.347 0.019 0.327 0.001 0. 0.001 2.188 0.035 2.152 0.012 0. 0.012 0.029 0. 0.029 2.453 0.003 2.449 0. 0. 0. 0. 0. 0. 2.12 0.056 2.064 0.197 0. 0.197 0.072 0. 0.072 0.001 0. 0.001
1500 100 1000 0. 0. 0. 0. 0. 0. 0.238 0.011 0.226 0.001 0. 0.001 0.633 0.031 0.601 0.001 0. 0.001 2.531 0.031 2.499 0.012 0. 0.012 0.029 0. 0.029 2.757 0.003 2.753 0. 0. 0. 0. 0. 0. 2.343 0.051 2.291 0.217 0. 0.217 0.114 0.004 0.11 0.001 0. 0.001
1600 100 1000 0. 0. 0. 0. 0. 0. 0.272 0.02 0.252 0.001 0. 0.001 0.425 0.011 0.413 0.001 0. 0.001 2.99 0.08 2.91 0.012 0. 0.012 0.029 0. 0.029 3.218 0. 3.218 0. 0. 0. 0. 0. 0. 2.631 0.075 2.555 0.237 0. 0.237 0.09 0.003 0.086 0.001 0. 0.001
1700 100 1000 0. 0. 0. 0. 0. 0. 0.365 0.02 0.345 0.001 0. 0.001 0.443 0.047 0.395 0.001 0. 0.001 3.431 0.075 3.355 0.012 0. 0.012 0.029 0. 0.029 3.911 0. 3.911 0. 0. 0. 0. 0. 0. 2.996 0.08 2.916 0.262 0. 0.262 0.14 0.008 0.132 0.001 0. 0.001
1800 100 1000 0. 0. 0. 0. 0. 0. 0.637 0.016 0.621 0.001 0. 0.001 0.566 0.015 0.55 0.001 0. 0.001 4.19 0.067 4.122 0.012 0. 0.012 0.029 0. 0.029 4.548 0.003 4.544 0. 0. 0. 0. 0. 0. 3.225 0.092 3.133 0.283 0. 0.283 0.111 0.023 0.087 0.001 0. 0.001
1900 100 1000 0. 0. 0. 0. 0. 0. 0.677 0.024 0.653 0.001 0. 0.001 0.541 0.035 0.505 0.001 0. 0.001 4.514 0.099 4.414 0.012 0. 0.012 0.03 0. 0.03 5.233 0.011 5.221 0. 0. 0. 0. 0. 0. 3.252 0.08 3.172 0.308 0. 0.308 0.215 0.003 0.211 0.001 0. 0.001
2000 100 1000 0. 0. 0. 0. 0. 0. 0.321 0.023 0.297 0.001 0. 0.001 0.936 0.028 0.908 0.001 0. 0.001 5.123 0.063 5.059 0.012 0. 0.012 0.03 0. 0.03 5.793 0.019 5.773 0. 0. 0. 0. 0. 0. 3.673 0.084 3.588 0.319 0. 0.319 0.359 0.003 0.355 0.001 0. 0.001
