param-a-nevars param-ctx-size param-extra-binders beta-F-ev-real beta-F-ev-sys beta-F-ev-user beta-F-tt-real beta-F-tt-sys beta-F-tt-user beta-FX-ev-real beta-FX-ev-sys beta-FX-ev-user beta-FX-tt-real beta-FX-tt-sys beta-FX-tt-user deta-id-FX-ev-real deta-id-FX-ev-sys deta-id-FX-ev-user deta-id-FX-tt-real deta-id-FX-tt-sys deta-id-FX-tt-user make-evars-real make-evars-sys make-evars-user make-fun-ev-real make-fun-ev-sys make-fun-ev-user make-fun-tt-real make-fun-tt-sys make-fun-tt-user make-tts-real make-tts-sys make-tts-user open-constr-F-ev-real open-constr-F-ev-sys open-constr-F-ev-user open-constr-F-tt-real open-constr-F-tt-sys open-constr-F-tt-user open-constr-FX-ev-real open-constr-FX-ev-sys open-constr-FX-ev-user open-constr-FX-tt-real open-constr-FX-tt-sys open-constr-FX-tt-user prebeta-FX-ev-real prebeta-FX-ev-sys prebeta-FX-ev-user prebeta-FX-tt-real prebeta-FX-tt-sys prebeta-FX-tt-user
1 100 100 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.012 0. 0.012 0.012 0. 0.012 0.012 0. 0.012 0.013 0. 0.013 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 100 100 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.013 0. 0.013 0.012 0. 0.012 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
3 100 100 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.012 0. 0.012 0.012 0. 0.012 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
100 100 100 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.013 0. 0.013 0.012 0. 0.012 0.013 0. 0.013 0.014 0. 0.014 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
200 100 100 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.015 0. 0.015 0.012 0. 0.012 0.014 0. 0.014 0.017 0. 0.017 0. 0. 0. 0. 0. 0. 0.008 0. 0.008 0.002 0. 0.002 0. 0. 0. 0. 0. 0.
300 100 100 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0. 0. 0. 0.001 0. 0.001 0. 0. 0. 0.017 0. 0.017 0.012 0. 0.012 0.015 0. 0.015 0.02 0. 0.02 0. 0. 0. 0. 0. 0. 0.012 0. 0.012 0.003 0. 0.003 0.001 0. 0.001 0. 0. 0.
400 100 100 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0. 0. 0. 0.001 0. 0.001 0. 0. 0. 0.019 0. 0.019 0.012 0. 0.012 0.016 0. 0.016 0.023 0. 0.023 0. 0. 0. 0. 0. 0. 0.016 0. 0.016 0.004 0. 0.004 0.001 0. 0.001 0. 0. 0.
500 100 100 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0. 0. 0. 0.001 0. 0.001 0. 0. 0. 0.02 0. 0.02 0.012 0. 0.012 0.018 0. 0.018 0.026 0. 0.026 0. 0. 0. 0. 0. 0. 0.021 0. 0.021 0.005 0. 0.005 0.001 0. 0.001 0. 0. 0.
600 100 100 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0. 0. 0. 0.002 0. 0.002 0. 0. 0. 0.022 0. 0.022 0.012 0. 0.012 0.019 0. 0.019 0.029 0. 0.029 0. 0. 0. 0. 0. 0. 0.027 0. 0.027 0.006 0. 0.006 0.002 0. 0.002 0. 0. 0.
700 100 100 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0. 0. 0. 0.002 0. 0.002 0. 0. 0. 0.023 0. 0.023 0.012 0. 0.012 0.021 0. 0.021 0.032 0. 0.032 0. 0. 0. 0. 0. 0. 0.032 0. 0.032 0.006 0. 0.006 0.002 0. 0.002 0. 0. 0.
