param-a-extra-binders param-ctx-size param-nevars beta-F-ev-real beta-F-ev-sys beta-F-ev-user beta-F-tt-real beta-F-tt-sys beta-F-tt-user beta-FX-ev-real beta-FX-ev-sys beta-FX-ev-user beta-FX-tt-real beta-FX-tt-sys beta-FX-tt-user deta-id-FX-ev-real deta-id-FX-ev-sys deta-id-FX-ev-user deta-id-FX-tt-real deta-id-FX-tt-sys deta-id-FX-tt-user make-evars-real make-evars-sys make-evars-user make-fun-ev-real make-fun-ev-sys make-fun-ev-user make-fun-tt-real make-fun-tt-sys make-fun-tt-user make-tts-real make-tts-sys make-tts-user open-constr-F-ev-real open-constr-F-ev-sys open-constr-F-ev-user open-constr-F-tt-real open-constr-F-tt-sys open-constr-F-tt-user open-constr-FX-ev-real open-constr-FX-ev-sys open-constr-FX-ev-user open-constr-FX-tt-real open-constr-FX-tt-sys open-constr-FX-tt-user prebeta-FX-ev-real prebeta-FX-ev-sys prebeta-FX-ev-user prebeta-FX-tt-real prebeta-FX-tt-sys prebeta-FX-tt-user
1 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.032 0. 0.032 0. 0. 0. 0. 0. 0. 0.045 0. 0.045 0. 0. 0. 0. 0. 0. 0.058 0. 0.058 0.01 0. 0.01 0.006 0. 0.006 0. 0. 0.
2 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.032 0. 0.032 0. 0. 0. 0. 0. 0. 0.045 0. 0.045 0. 0. 0. 0. 0. 0. 0.056 0. 0.056 0.01 0. 0.01 0.006 0. 0.006 0. 0. 0.
3 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.033 0. 0.033 0. 0. 0. 0. 0. 0. 0.046 0. 0.046 0. 0. 0. 0. 0. 0. 0.057 0. 0.057 0.01 0. 0.01 0.005 0. 0.005 0. 0. 0.
100 100 1000 0. 0. 0. 0. 0. 0. 0.006 0.003 0.002 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.032 0. 0.032 0.013 0. 0.013 0.024 0. 0.024 0.044 0. 0.044 0. 0. 0. 0. 0. 0. 0.06 0.003 0.056 0.01 0. 0.01 0.009 0.004 0.004 0. 0. 0.
200 100 1000 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.032 0. 0.032 0.035 0. 0.035 0.06 0. 0.06 0.044 0. 0.044 0. 0. 0. 0. 0. 0. 0.089 0.007 0.082 0.01 0. 0.01 0.005 0. 0.005 0. 0. 0.
300 100 1000 0. 0. 0. 0. 0. 0. 0.033 0. 0.033 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.032 0. 0.032 0.135 0. 0.135 0.168 0. 0.168 0.044 0. 0.044 0.001 0. 0.001 0. 0. 0. 0.057 0. 0.057 0.011 0. 0.011 0.006 0. 0.006 0. 0. 0.
400 100 1000 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.035 0. 0.035 0. 0. 0. 0.032 0. 0.032 0.238 0. 0.238 0.298 0. 0.298 0.044 0. 0.044 0.001 0. 0.001 0.001 0. 0.001 0.058 0. 0.058 0.012 0. 0.012 0.006 0. 0.006 0. 0. 0.
500 100 1000 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.031 0. 0.031 0.351 0. 0.351 0.421 0. 0.421 0.044 0. 0.044 0.002 0. 0.002 0.002 0. 0.002 0.061 0. 0.061 0.013 0. 0.013 0.036 0. 0.036 0. 0. 0.
600 100 1000 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.031 0. 0.031 0.464 0. 0.464 0.575 0.003 0.571 0.044 0. 0.044 0.004 0. 0.004 0.003 0. 0.003 0.061 0. 0.061 0.015 0. 0.015 0.033 0. 0.033 0. 0. 0.
700 100 1000 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.032 0. 0.032 0.613 0. 0.613 0.729 0.003 0.725 0.044 0. 0.044 0.005 0. 0.005 0.005 0. 0.005 0.064 0. 0.064 0.017 0. 0.017 0.032 0. 0.032 0. 0. 0.
800 100 1000 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.031 0. 0.031 0.803 0. 0.803 0.917 0.007 0.909 0.044 0. 0.044 0.008 0. 0.008 0.008 0. 0.008 0.093 0. 0.093 0.02 0. 0.02 0.005 0. 0.005 0.001 0. 0.001
900 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.032 0. 0.032 1. 0. 1. 1.127 0.016 1.111 0.045 0. 0.045 0.011 0. 0.011 0.012 0. 0.012 0.107 0. 0.107 0.023 0. 0.023 0.006 0. 0.006 0.001 0. 0.001
1000 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.031 0. 0.031 1.2 0.003 1.196 1.412 0.036 1.376 0.045 0. 0.045 0.015 0. 0.015 0.015 0. 0.015 0.128 0. 0.128 0.027 0. 0.027 0.006 0. 0.006 0.001 0. 0.001
1100 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.004 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.031 0. 0.031 1.528 0.027 1.5 1.633 0.016 1.617 0.045 0. 0.045 0.02 0. 0.02 0.018 0. 0.018 0.125 0.011 0.114 0.03 0. 0.03 0.006 0. 0.006 0.001 0. 0.001
