param-a-ctx-size param-extra-binders param-nevars beta-F-ev-real beta-F-ev-sys beta-F-ev-user beta-F-tt-real beta-F-tt-sys beta-F-tt-user beta-FX-ev-real beta-FX-ev-sys beta-FX-ev-user beta-FX-tt-real beta-FX-tt-sys beta-FX-tt-user deta-id-FX-ev-real deta-id-FX-ev-sys deta-id-FX-ev-user deta-id-FX-tt-real deta-id-FX-tt-sys deta-id-FX-tt-user make-evars-real make-evars-sys make-evars-user make-fun-ev-real make-fun-ev-sys make-fun-ev-user make-fun-tt-real make-fun-tt-sys make-fun-tt-user make-tts-real make-tts-sys make-tts-user open-constr-F-ev-real open-constr-F-ev-sys open-constr-F-ev-user open-constr-F-tt-real open-constr-F-tt-sys open-constr-F-tt-user open-constr-FX-ev-real open-constr-FX-ev-sys open-constr-FX-ev-user open-constr-FX-tt-real open-constr-FX-tt-sys open-constr-FX-tt-user prebeta-FX-ev-real prebeta-FX-ev-sys prebeta-FX-ev-user prebeta-FX-tt-real prebeta-FX-tt-sys prebeta-FX-tt-user
1 100 1000 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.017 0. 0.017 0.012 0. 0.012 0.023 0. 0.023 0.018 0. 0.018 0. 0. 0. 0. 0. 0. 0.021 0. 0.021 0.006 0. 0.006 0. 0. 0. 0. 0. 0.
2 100 1000 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.017 0. 0.017 0.012 0. 0.012 0.024 0. 0.024 0.018 0. 0.018 0. 0. 0. 0. 0. 0. 0.019 0. 0.019 0.006 0. 0.006 0. 0. 0. 0. 0. 0.
3 100 1000 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.017 0. 0.017 0.012 0. 0.012 0.023 0. 0.023 0.018 0. 0.018 0. 0. 0. 0. 0. 0. 0.02 0. 0.02 0.006 0. 0.006 0. 0. 0. 0. 0. 0.
100 100 1000 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.031 0. 0.031 0.012 0. 0.012 0.024 0. 0.024 0.043 0. 0.043 0. 0. 0. 0. 0. 0. 0.057 0.003 0.053 0.01 0. 0.01 0.007 0.003 0.003 0. 0. 0.
200 100 1000 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.008 0. 0.008 0. 0. 0. 0.054 0. 0.054 0.012 0. 0.012 0.024 0. 0.024 0.081 0. 0.081 0. 0. 0. 0. 0. 0. 0.116 0. 0.116 0.013 0. 0.013 0.008 0. 0.008 0. 0. 0.
300 100 1000 0. 0. 0. 0. 0. 0. 0.014 0.003 0.01 0. 0. 0. 0.014 0.004 0.01 0. 0. 0. 0.147 0. 0.147 0.012 0. 0.012 0.028 0. 0.028 0.192 0. 0.192 0. 0. 0. 0. 0. 0. 0.462 0.003 0.458 0.018 0. 0.018 0.103 0. 0.103 0.002 0. 0.002
400 100 1000 0. 0. 0. 0. 0. 0. 0.019 0.004 0.015 0. 0. 0. 0.018 0.003 0.014 0. 0. 0. 0.245 0. 0.245 0.011 0. 0.011 0.028 0. 0.028 0.307 0. 0.307 0. 0. 0. 0. 0. 0. 0.563 0.003 0.559 0.024 0. 0.024 0.115 0.015 0.099 0.002 0. 0.002
500 100 1000 0. 0. 0. 0. 0. 0. 0.018 0. 0.018 0. 0. 0. 0.022 0.003 0.018 0. 0. 0. 0.338 0. 0.338 0.011 0. 0.011 0.028 0. 0.028 0.424 0. 0.424 0. 0. 0. 0. 0. 0. 0.653 0.008 0.645 0.036 0. 0.036 0.098 0.007 0.09 0.003 0. 0.003
600 100 1000 0. 0. 0. 0. 0. 0. 0.03 0.007 0.022 0. 0. 0. 0.026 0.007 0.018 0. 0. 0. 0.445 0. 0.445 0.012 0. 0.012 0.028 0. 0.028 0.579 0. 0.578 0. 0. 0. 0. 0. 0. 0.763 0.003 0.759 0.05 0. 0.05 0.156 0.004 0.152 0.004 0. 0.004
700 100 1000 0. 0. 0. 0. 0. 0. 0.03 0.004 0.026 0. 0. 0. 0.03 0. 0.03 0. 0. 0. 0.599 0. 0.599 0.012 0. 0.012 0.029 0. 0.029 0.749 0. 0.749 0. 0. 0. 0. 0. 0. 0.947 0.011 0.935 0.074 0. 0.074 0.164 0. 0.164 0.005 0. 0.005
