param-n beta-1-fast-real beta-1-fast-sys beta-1-fast-user beta-1-slow-real beta-1-slow-sys beta-1-slow-user beta-2-fast-real beta-2-fast-sys beta-2-fast-user beta-2-slow-real beta-2-slow-sys beta-2-slow-user delta-1-fast-real delta-1-fast-sys delta-1-fast-user delta-1-slow-real delta-1-slow-sys delta-1-slow-user unify-beta-1-fast-real unify-beta-1-fast-sys unify-beta-1-fast-user unify-beta-1-slow-real unify-beta-1-slow-sys unify-beta-1-slow-user unify-beta-2-fast-real unify-beta-2-fast-sys unify-beta-2-fast-user unify-beta-2-slow-real unify-beta-2-slow-sys unify-beta-2-slow-user unify-delta-1-fast-real unify-delta-1-fast-sys unify-delta-1-fast-user unify-delta-1-slow-real unify-delta-1-slow-sys unify-delta-1-slow-user unify-zeta-1-fast-real unify-zeta-1-fast-sys unify-zeta-1-fast-user unify-zeta-1-slow-real unify-zeta-1-slow-sys unify-zeta-1-slow-user unify-zeta-2-fast-real unify-zeta-2-fast-sys unify-zeta-2-fast-user unify-zeta-2-slow-real unify-zeta-2-slow-sys unify-zeta-2-slow-user zeta-1-fast-real zeta-1-fast-sys zeta-1-fast-user zeta-1-slow-real zeta-1-slow-sys zeta-1-slow-user zeta-2-fast-real zeta-2-fast-sys zeta-2-fast-user zeta-2-slow-real zeta-2-slow-sys zeta-2-slow-user
1 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
3 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
4 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
5 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
6 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
7 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004 0.005 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
9 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.011 0. 0.011 0.01 0. 0.01 0.012 0. 0.012 0.01 0. 0.01 0.011 0. 0.011 0.01 0. 0.01 0.01 0. 0.01 0.012 0. 0.012 0.009 0. 0.009 0.009 0. 0.009 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
10 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.023 0. 0.023 0.022 0. 0.022 0.022 0. 0.022 0.023 0. 0.023 0.022 0. 0.022 0.022 0. 0.022 0.024 0. 0.024 0.023 0. 0.023 0.024 0. 0.024 0.023 0. 0.023 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
11 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006 0.047 0. 0.047 0.045 0. 0.045 0.046 0. 0.046 0.046 0. 0.046 0.044 0. 0.044 0.045 0. 0.045 0.047 0. 0.047 0.046 0. 0.046 0.046 0. 0.046 0.046 0. 0.046 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005
12 0.013 0. 0.013 0.013 0. 0.013 0.013 0. 0.013 0.013 0. 0.013 0.014 0. 0.014 0.012 0. 0.012 0.157 0.011 0.145 0.137 0. 0.137 0.138 0.003 0.134 0.138 0. 0.138 0.158 0.011 0.146 0.131 0. 0.131 0.157 0.011 0.145 0.135 0. 0.135 0.139 0. 0.139 0.134 0. 0.134 0.013 0. 0.013 0.013 0. 0.013 0.013 0. 0.013 0.013 0. 0.013
13 0.027 0. 0.027 0.027 0. 0.027 0.026 0. 0.026 0.026 0. 0.026 0.029 0. 0.029 0.027 0. 0.027 0.38 0. 0.38 0.382 0. 0.382 0.375 0. 0.375 0.381 0. 0.381 0.368 0. 0.368 0.366 0. 0.366 0.378 0. 0.378 0.378 0. 0.378 0.376 0. 0.376 0.38 0. 0.38 0.026 0. 0.026 0.026 0. 0.026 0.026 0. 0.026 0.025 0. 0.025
14 0.05 0. 0.05 0.052 0. 0.052 0.049 0. 0.049 0.052 0. 0.052 0.055 0. 0.055 0.055 0. 0.055 0.708 0.039 0.668 0.696 0. 0.696 0.673 0. 0.673 0.706 0. 0.706 0.722 0.031 0.69 0.689 0.004 0.685 0.709 0.039 0.67 0.695 0. 0.695 0.691 0.003 0.687 0.695 0.004 0.691 0.051 0. 0.051 0.051 0. 0.05 0.052 0. 0.052 0.051 0. 0.051
15 0.102 0. 0.102 0.101 0. 0.1 0.105 0. 0.105 0.102 0. 0.102 0.113 0. 0.113 0.113 0. 0.113 1.426 0.023 1.402 1.409 0. 1.409 1.414 0.003 1.41 1.423 0. 1.423 1.478 0.032 1.446 1.467 0.003 1.463 1.442 0.016 1.426 1.432 0. 1.432 1.413 0.007 1.405 1.432 0.003 1.428 0.101 0. 0.101 0.1 0. 0.1 0.101 0. 0.101 0.101 0. 0.101
