param-a-num-binders param-n cbv-real cbv-sys cbv-user lazy-real lazy-sys lazy-user
0 0 0. 0. 0. 0. 0. 0.
1 1 0. 0. 0. 0. 0. 0.
4 2 0. 0. 0. 0. 0. 0.
25 5 0. 0. 0. 0. 0. 0.
100 10 0.001 0. 0.001 0.001 0. 0.001
225 15 0.005 0. 0.005 0.005 0. 0.005
400 20 0.012 0. 0.012 0.061 0.003 0.057
625 25 0.023 0. 0.023 0.022 0. 0.022
900 30 0.051 0. 0.051 0.058 0.003 0.054
1225 35 0.129 0. 0.129 0.126 0. 0.126
1600 40 0.248 0. 0.248 0.251 0. 0.251
2025 45 0.434 0.003 0.43 0.434 0. 0.434
2500 50 0.704 0.003 0.7 0.675 0. 0.675
3025 55 1.019 0. 1.019 1.016 0. 1.016
3600 60 1.478 0. 1.478 1.438 0. 1.438
4225 65 1.992 0. 1.992 2.008 0. 2.008
4900 70 2.906 0. 2.906 2.966 0. 2.966
5625 75 3.527 0.011 3.515 3.898 0. 3.898
6400 80 4.61 0.007 4.602 4.994 0. 4.994
7225 85 5.83 0. 5.83 6.372 0. 6.372
8100 90 8.019 0. 8.018 7.711 0. 7.711
9025 95 9.997 0.008 9.988 8.984 0. 8.983
10000 100 12.168 0. 12.168 11.394 0. 11.394
11025 105 14.108 0. 14.108 13.588 0. 13.588
12100 110 15.806 0. 15.806 15.794 0. 15.793
13225 115 19.058 0. 19.057 18.123 0. 18.123
