param-a-num-binders param-n vm-compute-real vm-compute-sys vm-compute-user
0 0 0. 0. 0.
1 1 0. 0. 0.
4 2 0. 0. 0.
25 5 0. 0. 0.
100 10 0.002 0. 0.002
225 15 0.005 0.003 0.002
400 20 0.066 0.011 0.054
625 25 0.022 0. 0.022
900 30 0.048 0. 0.048
1225 35 0.05 0. 0.05
1600 40 0.109 0.007 0.101
2025 45 0.091 0. 0.091
2500 50 0.113 0.003 0.11
3025 55 0.143 0.007 0.135
3600 60 0.143 0.003 0.139
4225 65 0.208 0. 0.208
4900 70 0.255 0.015 0.239
5625 75 0.382 0.032 0.349
6400 80 0.384 0.02 0.364
7225 85 0.515 0.011 0.503
8100 90 0.593 0.036 0.557
9025 95 0.724 0.027 0.696
10000 100 1.13 0.015 1.114
11025 105 0.927 0.007 0.919
12100 110 1.057 0.012 1.045
13225 115 1.195 0.031 1.163
14400 120 1.522 0.055 1.466
15625 125 1.613 0.088 1.524
16900 130 1.857 0.076 1.781
18225 135 1.972 0.008 1.964
19600 140 2.306 0.036 2.27
21025 145 3.293 0.076 3.217
