Params: a-num-binders= 25 , n= 5
Tactic call cbv ran for 0. secs (0.u,0.s) (success)
Tactic call lazy ran for 0. secs (0.u,0.s) (success)
Params: a-num-binders= 100 , n= 10
Tactic call cbv ran for 0.001 secs (0.001u,0.s) (success)
Tactic call lazy ran for 0.001 secs (0.001u,0.s) (success)
Params: a-num-binders= 225 , n= 15
Tactic call cbv ran for 0.005 secs (0.005u,0.s) (success)
Tactic call lazy ran for 0.005 secs (0.005u,0.s) (success)
Params: a-num-binders= 400 , n= 20
Tactic call cbv ran for 0.012 secs (0.008u,0.003s) (success)
Tactic call lazy ran for 0.065 secs (0.048u,0.016s) (success)
Params: a-num-binders= 625 , n= 25
Tactic call cbv ran for 0.022 secs (0.022u,0.s) (success)
Tactic call lazy ran for 0.022 secs (0.022u,0.s) (success)
Params: a-num-binders= 900 , n= 30
Tactic call cbv ran for 0.05 secs (0.05u,0.s) (success)
Tactic call lazy ran for 0.053 secs (0.053u,0.s) (success)
Params: a-num-binders= 1225 , n= 35
Tactic call cbv ran for 0.121 secs (0.121u,0.s) (success)
Tactic call lazy ran for 0.12 secs (0.12u,0.s) (success)
Params: a-num-binders= 1600 , n= 40
Tactic call cbv ran for 0.245 secs (0.245u,0.s) (success)
Tactic call lazy ran for 0.248 secs (0.248u,0.s) (success)
Params: a-num-binders= 2025 , n= 45
Tactic call cbv ran for 0.443 secs (0.443u,0.s) (success)
Tactic call lazy ran for 0.446 secs (0.446u,0.s) (success)
Params: a-num-binders= 2500 , n= 50
Tactic call cbv ran for 0.735 secs (0.735u,0.s) (success)
Tactic call lazy ran for 0.71 secs (0.71u,0.s) (success)
Params: a-num-binders= 3025 , n= 55
Tactic call cbv ran for 0.948 secs (0.944u,0.003s) (success)
Tactic call lazy ran for 1.062 secs (1.062u,0.s) (success)
Params: a-num-binders= 3600 , n= 60
Tactic call cbv ran for 1.44 secs (1.44u,0.s) (success)
Tactic call lazy ran for 1.549 secs (1.549u,0.s) (success)
Params: a-num-binders= 4225 , n= 65
Tactic call cbv ran for 2.14 secs (2.14u,0.s) (success)
Tactic call lazy ran for 2.133 secs (2.133u,0.s) (success)
