Params: a-num-binders= 1225 , n= 35
Tactic call native_compute ran for 17.549 secs (0.129u,0.032s) (success)
Params: a-num-binders= 1600 , n= 40
Tactic call native_compute ran for 28.637 secs (0.136u,0.016s) (success)
Params: a-num-binders= 2025 , n= 45
Tactic call native_compute ran for 49.697 secs (0.166u,0.043s) (success)
Params: a-num-binders= 2500 , n= 50
Tactic call native_compute ran for 78.992 secs (0.283u,0.032s) (success)
Params: a-num-binders= 3025 , n= 55
Tactic call native_compute ran for 76.872 secs (0.226u,0.031s) (success)
Params: a-num-binders= 3600 , n= 60
Tactic call native_compute ran for 99.363 secs (0.268u,0.032s) (success)
