Params: a-num-binders= 25 , n= 5
Tactic call native_compute ran for 0.106 secs (0.001u,0.008s) (success)
Params: a-num-binders= 100 , n= 10
Tactic call native_compute ran for 0.233 secs (0.003u,0.011s) (success)
Params: a-num-binders= 225 , n= 15
Tactic call native_compute ran for 0.669 secs (0.021u,0.007s) (success)
Params: a-num-binders= 400 , n= 20
Tactic call native_compute ran for 1.553 secs (0.024u,0.012s) (success)
Params: a-num-binders= 625 , n= 25
Tactic call native_compute ran for 3.519 secs (0.057u,0.015s) (success)
Params: a-num-binders= 900 , n= 30
Tactic call native_compute ran for 7.777 secs (0.075u,0.031s) (success)
