Params: a-num-binders= 25 , n= 5
Tactic call vm_compute ran for 0. secs (0.u,0.s) (success)
Params: a-num-binders= 100 , n= 10
Tactic call vm_compute ran for 0.002 secs (0.002u,0.s) (success)
Params: a-num-binders= 225 , n= 15
Tactic call vm_compute ran for 0.005 secs (0.002u,0.003s) (success)
Params: a-num-binders= 400 , n= 20
Tactic call vm_compute ran for 0.066 secs (0.054u,0.011s) (success)
Params: a-num-binders= 625 , n= 25
Tactic call vm_compute ran for 0.022 secs (0.022u,0.s) (success)
Params: a-num-binders= 900 , n= 30
Tactic call vm_compute ran for 0.048 secs (0.048u,0.s) (success)
Params: a-num-binders= 1225 , n= 35
Tactic call vm_compute ran for 0.05 secs (0.05u,0.s) (success)
Params: a-num-binders= 1600 , n= 40
Tactic call vm_compute ran for 0.109 secs (0.101u,0.007s) (success)
Params: a-num-binders= 2025 , n= 45
Tactic call vm_compute ran for 0.091 secs (0.091u,0.s) (success)
Params: a-num-binders= 2500 , n= 50
Tactic call vm_compute ran for 0.113 secs (0.11u,0.003s) (success)
Params: a-num-binders= 3025 , n= 55
Tactic call vm_compute ran for 0.143 secs (0.135u,0.007s) (success)
Params: a-num-binders= 3600 , n= 60
Tactic call vm_compute ran for 0.143 secs (0.139u,0.003s) (success)
Params: a-num-binders= 4225 , n= 65
Tactic call vm_compute ran for 0.208 secs (0.208u,0.s) (success)
Params: a-num-binders= 4900 , n= 70
Tactic call vm_compute ran for 0.255 secs (0.239u,0.015s) (success)
Params: a-num-binders= 5625 , n= 75
Tactic call vm_compute ran for 0.382 secs (0.349u,0.032s) (success)
Params: a-num-binders= 6400 , n= 80
Tactic call vm_compute ran for 0.384 secs (0.364u,0.02s) (success)
Params: a-num-binders= 7225 , n= 85
Tactic call vm_compute ran for 0.515 secs (0.503u,0.011s) (success)
Params: a-num-binders= 8100 , n= 90
Tactic call vm_compute ran for 0.593 secs (0.557u,0.036s) (success)
Params: a-num-binders= 9025 , n= 95
Tactic call vm_compute ran for 0.724 secs (0.696u,0.027s) (success)
Params: a-num-binders= 10000 , n= 100
Tactic call vm_compute ran for 1.13 secs (1.114u,0.015s) (success)
Params: a-num-binders= 11025 , n= 105
Tactic call vm_compute ran for 0.927 secs (0.919u,0.007s) (success)
Params: a-num-binders= 12100 , n= 110
Tactic call vm_compute ran for 1.057 secs (1.045u,0.012s) (success)
Params: a-num-binders= 13225 , n= 115
Tactic call vm_compute ran for 1.195 secs (1.163u,0.031s) (success)
