param-n abstract+setoid-rewrite-regression-cubic-real abstract+setoid-rewrite-regression-cubic-sys abstract+setoid-rewrite-regression-cubic-user close-abstract+setoid-rewrite-regression-quadratic-real close-abstract+setoid-rewrite-regression-quadratic-sys close-abstract+setoid-rewrite-regression-quadratic-user noop-repeat-setoid-rewrite-regression-cubic-real noop-repeat-setoid-rewrite-regression-cubic-sys noop-repeat-setoid-rewrite-regression-cubic-user repeat-setoid-rewrite-regression-cubic-real repeat-setoid-rewrite-regression-cubic-sys repeat-setoid-rewrite-regression-cubic-user setoid-rewrite-regression-cubic-real setoid-rewrite-regression-cubic-sys setoid-rewrite-regression-cubic-user
0 0.001 0.001 0. 0. 0. 0. 0. 0. 0. 0.001 0.001 0. 0.001 0.001 0.
1 0.003 0.001 0.002 0. 0. 0. 0.001 0. 0. 0.003 0. 0.002 0.002 0. 0.001
2 0.004 0. 0.004 0.001 0. 0. 0.001 0. 0.001 0.004 0. 0.004 0.003 0. 0.003
10 0.02 0.004 0.016 0.005 0. 0.005 0.006 0.003 0.003 0.021 0.004 0.017 0.014 0.003 0.01
20 0.094 0.011 0.083 0.01 0. 0.009 0.013 0. 0.012 0.093 0.007 0.086 0.084 0.011 0.073
30 0.073 0. 0.073 0.02 0. 0.02 0.03 0. 0.03 0.082 0. 0.082 0.053 0. 0.053
40 0.137 0. 0.137 0.038 0. 0.038 0.058 0. 0.058 0.151 0. 0.151 0.098 0. 0.098
50 0.272 0.023 0.249 0.055 0. 0.055 0.098 0. 0.098 0.32 0.011 0.308 0.217 0.023 0.193
60 0.321 0. 0.321 0.077 0. 0.077 0.158 0. 0.158 0.411 0. 0.411 0.243 0. 0.243
70 0.452 0. 0.452 0.095 0. 0.095 0.237 0. 0.237 0.594 0. 0.593 0.356 0. 0.356
80 0.608 0.003 0.604 0.121 0. 0.121 0.344 0. 0.343 0.833 0. 0.832 0.486 0.003 0.482
90 0.795 0.003 0.791 0.151 0. 0.151 0.478 0. 0.478 1.145 0. 1.144 0.643 0.003 0.639
100 1.039 0.004 1.035 0.183 0. 0.183 0.642 0. 0.642 1.556 0. 1.556 0.856 0.003 0.852
110 1.29 0.003 1.286 0.21 0.003 0.206 0.815 0. 0.815 1.916 0.007 1.907 1.079 0. 1.079
120 1.628 0. 1.628 0.247 0. 0.247 1.056 0. 1.055 2.361 0. 2.359 1.38 0. 1.38
130 1.897 0. 1.897 0.286 0. 0.286 1.323 0. 1.322 2.923 0.011 2.908 1.611 0. 1.611
140 2.634 0.003 2.63 0.347 0. 0.347 1.723 0. 1.719 3.757 0. 3.753 2.285 0.003 2.281
150 3.101 0. 3.101 0.375 0. 0.375 1.996 0. 1.996 4.728 0. 4.728 2.725 0. 2.725
160 3.506 0. 3.506 0.421 0. 0.421 2.425 0. 2.423 5.501 0.015 5.471 3.084 0. 3.084
170 3.929 0. 3.929 0.476 0. 0.476 2.871 0. 2.868 6.147 0.004 6.137 3.452 0. 3.452
180 4.683 0. 4.683 0.558 0. 0.558 3.575 0. 3.574 7.399 0. 7.399 4.123 0. 4.123
190 5.366 0.003 5.362 0.586 0. 0.586 3.995 0. 3.995 8.704 0.003 8.7 4.778 0.003 4.774
200 6.22 0.011 6.208 0.694 0. 0.694 4.941 0. 4.941 10.435 0.007 10.427 5.525 0.011 5.513
