param-0-n param-1-lgn try-ssr-rewrite!-cold-noop-regression-linear-real try-ssr-rewrite!-cold-noop-regression-linear-sys try-ssr-rewrite!-cold-noop-regression-linear-user try-ssr-rewrite!-noop-regression-linear-real try-ssr-rewrite!-noop-regression-linear-sys try-ssr-rewrite!-noop-regression-linear-user try-ssr-rewrite-noop-regression-linear-real try-ssr-rewrite-noop-regression-linear-sys try-ssr-rewrite-noop-regression-linear-user try-ssr-rewrite?-noop-regression-linear-real try-ssr-rewrite?-noop-regression-linear-sys try-ssr-rewrite?-noop-regression-linear-user
3 1 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
7 2 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
15 3 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
31 4 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
63 5 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
127 6 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
255 7 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
511 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1023 9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2047 10 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
4095 11 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
8191 12 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.005 0. 0.005
16383 13 0.007 0. 0.007 0.007 0. 0.007 0.01 0. 0.01 0.007 0. 0.007
32767 14 0.015 0. 0.015 0.019 0. 0.019 0.015 0. 0.015 0.016 0. 0.016
65535 15 0.031 0. 0.031 0.053 0. 0.053 0.031 0. 0.031 0.036 0.004 0.032
131071 16 0.14 0.008 0.132 0.05 0. 0.05 0.05 0. 0.05 0.05 0. 0.05
262143 17 0.146 0.003 0.142 0.117 0. 0.117 0.1 0. 0.1 0.099 0. 0.099
524287 18 0.265 0. 0.265 0.201 0. 0.201 0.199 0. 0.199 0.2 0. 0.2
1048575 19 0.62 0. 0.62 0.403 0. 0.403 0.407 0. 0.407 0.406 0. 0.406
2097151 20 0.982 0.016 0.966 0.801 0.003 0.797 0.803 0. 0.803 0.807 0. 0.807
4194303 21 1.998 0. 1.999 1.607 0. 1.607 1.603 0. 1.603 1.612 0. 1.611
8388607 22 3.239 0. 3.239 3.162 0. 3.162 3.173 0. 3.173 3.181 0. 3.181
