param-n abstract+repeat-rewrite-strat-bottomup-regression-cubic-real abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys abstract+repeat-rewrite-strat-bottomup-regression-cubic-user abstract+repeat-rewrite-strat-topdown-regression-cubic-real abstract+repeat-rewrite-strat-topdown-regression-cubic-sys abstract+repeat-rewrite-strat-topdown-regression-cubic-user close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user noop-repeat-rewrite-strat-bottomup-real noop-repeat-rewrite-strat-bottomup-sys noop-repeat-rewrite-strat-bottomup-user noop-repeat-rewrite-strat-topdown-real noop-repeat-rewrite-strat-topdown-sys noop-repeat-rewrite-strat-topdown-user repeat-rewrite-strat-bottomup-regression-cubic-real repeat-rewrite-strat-bottomup-regression-cubic-sys repeat-rewrite-strat-bottomup-regression-cubic-user repeat-rewrite-strat-topdown-regression-cubic-real repeat-rewrite-strat-topdown-regression-cubic-sys repeat-rewrite-strat-topdown-regression-cubic-user
0 0.004 0. 0.004 0.004 0. 0.003 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0.003 0. 0.002
1 0.009 0.004 0.005 0.008 0.003 0.005 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.007 0.003 0.003 0.006 0.003 0.003
2 0.014 0.004 0.01 0.014 0. 0.013 0.001 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.012 0.003 0.008 0.011 0. 0.011
3 0.021 0.008 0.013 0.021 0.005 0.015 0.001 0. 0.001 0.001 0.001 0. 0.001 0. 0.001 0.001 0. 0.001 0.018 0.007 0.01 0.017 0.003 0.013
4 0.08 0.008 0.072 0.074 0.022 0.052 0.001 0. 0.001 0.001 0. 0. 0.001 0. 0.001 0.048 0.004 0.044 0.077 0.007 0.069 0.024 0.017 0.006
5 0.026 0. 0.026 0.026 0. 0.026 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.022 0. 0.022 0.022 0. 0.022
6 0.035 0. 0.035 0.035 0. 0.035 0.001 0. 0.001 0.002 0. 0.002 0.003 0. 0.003 0.002 0. 0.002 0.029 0. 0.029 0.029 0. 0.029
7 0.043 0. 0.043 0.043 0. 0.043 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.038 0. 0.038 0.038 0. 0.038
8 0.056 0. 0.056 0.055 0. 0.055 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003 0.049 0. 0.049 0.048 0. 0.048
9 0.068 0. 0.068 0.067 0. 0.067 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.061 0. 0.061 0.06 0. 0.06
