param-n build-real build-sys build-user build-and-refine-real build-and-refine-sys build-and-refine-user refine-real refine-sys refine-user to-constr-real to-constr-sys to-constr-user type-of-real type-of-sys type-of-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
100 0.001 0. 0.001 0.002 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0.
200 0.003 0. 0.003 0.004 0. 0.004 0. 0. 0. 0. 0. 0. 0. 0. 0.
300 0.004 0. 0.004 0.085 0. 0.085 0. 0. 0. 0.051 0. 0.051 0.028 0. 0.028
400 0.006 0. 0.006 0.042 0. 0.042 0. 0. 0. 0.002 0. 0.002 0.033 0. 0.033
500 0.008 0. 0.008 0.016 0. 0.016 0.001 0. 0.001 0.003 0. 0.003 0.004 0. 0.004
600 0.009 0. 0.009 0.028 0. 0.028 0.001 0. 0.001 0.004 0. 0.004 0.012 0. 0.012
700 0.011 0. 0.011 0.027 0. 0.027 0.002 0. 0.002 0.006 0. 0.006 0.007 0. 0.007
800 0.012 0. 0.012 0.045 0. 0.045 0.003 0. 0.003 0.007 0. 0.007 0.021 0. 0.021
900 0.014 0. 0.014 0.04 0. 0.04 0.004 0. 0.004 0.009 0. 0.009 0.012 0. 0.012
1000 0.016 0. 0.016 0.065 0.003 0.061 0.005 0. 0.005 0.011 0.003 0.007 0.032 0. 0.032
1100 0.017 0. 0.017 0.056 0. 0.056 0.006 0. 0.006 0.014 0. 0.014 0.018 0. 0.018
1200 0.019 0. 0.019 0.065 0. 0.065 0.007 0. 0.007 0.016 0. 0.016 0.021 0. 0.021
1300 0.021 0. 0.021 0.076 0.003 0.072 0.008 0. 0.008 0.02 0.003 0.016 0.026 0. 0.026
1400 0.022 0. 0.022 0.086 0.004 0.082 0.01 0. 0.01 0.023 0.003 0.019 0.03 0. 0.03
1500 0.024 0. 0.024 0.098 0. 0.098 0.011 0. 0.011 0.026 0. 0.026 0.035 0. 0.035
1600 0.025 0. 0.025 0.115 0. 0.115 0.013 0. 0.013 0.033 0. 0.033 0.041 0. 0.041
1700 0.033 0. 0.033 0.133 0.007 0.125 0.015 0. 0.015 0.034 0.007 0.026 0.049 0. 0.049
1800 0.041 0. 0.041 0.15 0.007 0.142 0.017 0. 0.017 0.037 0.007 0.029 0.053 0. 0.053
1900 0.044 0. 0.044 0.171 0.003 0.167 0.019 0. 0.019 0.044 0.003 0.04 0.063 0. 0.063
2000 0.037 0. 0.037 0.223 0.003 0.22 0.021 0. 0.021 0.041 0.003 0.037 0.123 0. 0.123
2100 0.034 0. 0.034 0.189 0. 0.188 0.024 0. 0.024 0.054 0. 0.054 0.076 0. 0.076
2200 0.078 0. 0.078 0.252 0.003 0.248 0.026 0. 0.026 0.058 0.003 0.054 0.088 0. 0.088
2300 0.052 0. 0.052 0.242 0.004 0.238 0.029 0. 0.029 0.063 0.003 0.059 0.097 0. 0.097
2400 0.038 0. 0.038 0.249 0. 0.249 0.032 0. 0.032 0.07 0. 0.07 0.108 0. 0.108
2500 0.044 0. 0.044 0.28 0.003 0.276 0.035 0. 0.035 0.077 0.003 0.073 0.122 0. 0.122
2600 0.046 0. 0.046 0.302 0.011 0.29 0.038 0. 0.038 0.082 0.011 0.07 0.134 0. 0.134
