param-n open-constr-True-1000-real open-constr-True-1000-sys open-constr-True-1000-user
0 0.027 0.011 0.015
1 0.026 0. 0.026
2 0.07 0.004 0.065
3 0.02 0. 0.02
4 0.021 0. 0.021
5 0.021 0. 0.021
6 0.026 0. 0.026
7 0.023 0. 0.023
8 0.024 0. 0.024
9 0.025 0. 0.025
10 0.024 0. 0.024
11 0.025 0. 0.025
12 0.024 0. 0.024
13 0.026 0. 0.026
14 0.029 0. 0.029
15 0.025 0. 0.025
16 0.025 0. 0.025
17 0.026 0. 0.026
18 0.028 0. 0.028
19 0.026 0. 0.026
20 0.027 0. 0.027
21 0.034 0. 0.034
22 0.027 0. 0.027
23 0.028 0. 0.028
24 0.027 0. 0.027
25 0.028 0. 0.028
26 0.03 0. 0.03
27 0.039 0. 0.039
28 0.029 0. 0.029
29 0.031 0. 0.031
30 0.031 0. 0.031
31 0.03 0. 0.03
32 0.03 0. 0.03
33 0.039 0. 0.039
34 0.031 0. 0.031
35 0.031 0. 0.031
36 0.034 0. 0.034
37 0.032 0. 0.032
38 0.033 0. 0.033
39 0.04 0. 0.04
40 0.032 0. 0.032
41 0.037 0. 0.037
42 0.033 0. 0.033
43 0.037 0. 0.037
44 0.045 0. 0.045
45 0.034 0. 0.034
46 0.039 0. 0.039
47 0.036 0. 0.036
48 0.035 0. 0.035
49 0.048 0. 0.048
50 0.036 0. 0.036
51 0.037 0.003 0.034
52 0.036 0. 0.036
53 0.045 0. 0.045
54 0.037 0. 0.037
55 0.049 0. 0.049
56 0.038 0. 0.038
57 0.042 0. 0.042
58 0.055 0. 0.055
59 0.039 0. 0.039
60 0.04 0.003 0.036
61 0.039 0. 0.039
62 0.043 0. 0.043
63 0.04 0. 0.04
64 0.041 0. 0.041
65 0.041 0. 0.041
66 0.046 0. 0.046
67 0.041 0. 0.041
68 0.042 0. 0.042
69 0.041 0. 0.041
70 0.045 0. 0.045
71 0.058 0. 0.058
72 0.042 0. 0.042
73 0.052 0. 0.052
74 0.043 0. 0.043
75 0.05 0. 0.05
76 0.043 0.003 0.04
77 0.044 0. 0.044
78 0.044 0. 0.044
79 0.046 0. 0.046
80 0.048 0. 0.048
81 0.045 0. 0.045
82 0.053 0. 0.053
83 0.046 0. 0.046
84 0.051 0. 0.051
85 0.047 0. 0.047
86 0.047 0. 0.047
87 0.048 0. 0.048
88 0.051 0. 0.051
89 0.05 0. 0.05
90 0.052 0. 0.052
91 0.049 0. 0.049
92 0.054 0. 0.054
93 0.049 0. 0.049
94 0.058 0. 0.058
95 0.056 0. 0.056
96 0.051 0. 0.051
97 0.058 0. 0.058
98 0.058 0.003 0.054
99 0.052 0. 0.052
100 0.06 0. 0.06
101 0.058 0. 0.058
102 0.059 0. 0.059
103 0.052 0. 0.052
104 0.057 0. 0.057
105 0.07 0. 0.07
106 0.053 0. 0.053
107 0.093 0. 0.093
108 0.064 0.003 0.06
109 0.055 0. 0.055
110 0.082 0. 0.082
111 0.061 0. 0.061
112 0.07 0. 0.07
113 0.056 0. 0.056
114 0.056 0. 0.056
115 0.06 0. 0.06
116 0.07 0.003 0.066
117 0.059 0. 0.059
118 0.08 0. 0.08
119 0.062 0.004 0.058
120 0.069 0. 0.069
121 0.079 0. 0.079
122 0.058 0. 0.058
123 0.061 0. 0.061
124 0.065 0. 0.065
125 0.058 0. 0.058
126 0.08 0. 0.08
127 0.059 0. 0.059
128 0.074 0. 0.074
129 0.07 0. 0.07
130 0.065 0. 0.065
131 0.077 0. 0.077
132 0.074 0. 0.074
133 0.061 0. 0.061
134 0.067 0. 0.067
135 0.063 0. 0.063
136 0.067 0. 0.067
137 0.069 0. 0.069
138 0.077 0.003 0.073
139 0.074 0. 0.074
140 0.089 0. 0.089
141 0.063 0. 0.063
142 0.077 0. 0.077
143 0.068 0. 0.068
144 0.068 0. 0.068
145 0.084 0. 0.084
146 0.07 0. 0.07
147 0.091 0. 0.091
148 0.075 0. 0.075
149 0.097 0. 0.097
150 0.083 0. 0.083
151 0.095 0. 0.095
152 0.089 0. 0.089
153 0.067 0. 0.067
154 0.067 0. 0.067
155 0.068 0. 0.068
156 0.068 0. 0.068
157 0.069 0. 0.069
158 0.07 0. 0.07
159 0.07 0. 0.07
160 0.071 0. 0.071
161 0.075 0. 0.075
162 0.073 0. 0.073
163 0.071 0. 0.071
164 0.073 0. 0.073
165 0.076 0. 0.076
166 0.074 0. 0.074
167 0.075 0. 0.075
168 0.074 0. 0.074
169 0.072 0. 0.072
170 0.073 0. 0.073
171 0.071 0. 0.071
172 0.098 0. 0.098
173 0.091 0. 0.091
174 0.091 0. 0.091
175 0.09 0. 0.09
176 0.087 0. 0.087
177 0.089 0. 0.089
178 0.084 0. 0.084
179 0.085 0. 0.085
180 0.107 0. 0.107
181 0.079 0. 0.079
182 0.093 0. 0.093
183 0.089 0. 0.089
184 0.102 0. 0.102
185 0.124 0. 0.124
186 0.091 0. 0.091
187 0.093 0. 0.093
188 0.085 0. 0.085
189 0.079 0. 0.079
190 0.08 0. 0.08
191 0.107 0. 0.107
192 0.1 0. 0.1
193 0.098 0. 0.098
194 0.093 0. 0.093
195 0.087 0. 0.087
196 0.124 0.003 0.121
197 0.103 0. 0.103
198 0.096 0. 0.096
199 0.271 0. 0.271
200 0.083 0. 0.083
201 0.095 0. 0.095
202 0.104 0. 0.104
203 0.136 0. 0.136
204 0.092 0. 0.092
205 0.108 0. 0.108
206 0.086 0. 0.086
207 0.1 0. 0.1
208 0.11 0. 0.11
209 0.089 0. 0.089
210 0.108 0. 0.108
211 0.092 0. 0.092
212 0.093 0. 0.093
213 0.125 0. 0.125
214 0.102 0. 0.102
215 0.098 0. 0.098
216 0.126 0. 0.126
217 0.128 0. 0.128
218 0.148 0. 0.148
219 0.096 0. 0.096
220 0.113 0. 0.113
221 0.127 0. 0.127
222 0.1 0. 0.1
223 0.111 0. 0.111
224 0.091 0. 0.091
225 0.102 0. 0.102
226 0.111 0. 0.111
227 0.108 0. 0.108
228 0.099 0. 0.099
229 0.11 0. 0.11
230 0.109 0. 0.109
231 0.096 0. 0.096
232 0.105 0. 0.105
233 0.136 0. 0.136
234 0.12 0. 0.12
235 0.134 0. 0.134
236 0.155 0. 0.155
237 0.112 0. 0.112
238 0.149 0. 0.149
239 0.132 0. 0.132
240 0.101 0. 0.101
241 0.116 0. 0.116
242 0.146 0. 0.146
243 0.124 0. 0.124
244 0.115 0. 0.115
245 0.12 0. 0.12
246 0.156 0. 0.156
247 0.135 0. 0.135
248 0.194 0. 0.194
249 0.163 0. 0.163
250 0.112 0. 0.112
251 0.121 0. 0.121
252 0.146 0.003 0.142
253 0.12 0. 0.12
254 0.118 0. 0.118
255 0.126 0.003 0.122
256 0.161 0.003 0.157
257 0.473 0. 0.473
258 0.222 0. 0.222
259 0.3 0. 0.3
260 0.222 0. 0.222
261 0.313 0. 0.313
262 0.224 0. 0.224
263 0.31 0. 0.31
264 0.225 0. 0.225
265 0.306 0. 0.306
266 0.231 0. 0.231
267 0.305 0. 0.305
268 0.226 0. 0.227
269 0.307 0. 0.307
270 0.239 0. 0.239
271 0.312 0. 0.312
272 0.238 0. 0.238
273 0.315 0. 0.315
274 0.233 0. 0.233
275 0.313 0. 0.313
276 0.242 0. 0.242
277 0.311 0. 0.311
278 0.234 0. 0.234
279 0.324 0. 0.324
280 0.239 0. 0.239
281 0.321 0. 0.321
282 0.244 0. 0.244
283 0.314 0. 0.314
284 0.237 0. 0.237
285 0.32 0. 0.32
286 0.244 0. 0.244
287 0.323 0. 0.323
288 0.241 0. 0.241
289 0.325 0. 0.325
290 0.246 0. 0.246
291 0.322 0. 0.322
292 0.248 0. 0.248
293 0.328 0. 0.328
294 0.258 0. 0.258
295 0.33 0. 0.33
296 0.256 0. 0.256
297 0.324 0. 0.324
298 0.253 0. 0.253
299 0.333 0. 0.333
300 0.322 0.031 0.29
302 0.3 0.008 0.292
304 0.335 0.015 0.319
306 0.272 0.016 0.256
308 0.33 0. 0.329
310 0.253 0. 0.253
312 0.327 0. 0.327
314 0.284 0. 0.283
316 0.304 0. 0.304
318 0.291 0. 0.29
320 0.303 0. 0.302
322 0.305 0. 0.304
324 0.295 0. 0.295
326 0.32 0. 0.319
