param-n do-100-pose-I-real do-100-pose-I-sys do-100-pose-I-user
0 0.002 0. 0.001
1 0.002 0. 0.002
2 0.002 0. 0.002
1000 0.092 0. 0.092
1100 0.097 0. 0.097
1200 0.109 0. 0.109
1300 0.121 0. 0.121
1400 0.129 0. 0.129
1500 0.164 0. 0.164
1600 0.16 0. 0.16
1700 0.174 0. 0.174
1800 0.212 0. 0.212
1900 0.216 0. 0.216
2000 0.236 0. 0.236
2200 0.203 0. 0.203
2400 0.235 0. 0.235
2600 0.29 0. 0.29
2800 0.291 0. 0.291
3000 0.26 0. 0.26
3200 0.275 0. 0.275
3400 0.383 0. 0.383
3600 0.379 0. 0.379
3800 0.481 0. 0.481
4000 0.555 0.003 0.551
4200 0.559 0. 0.559
4400 0.71 0.003 0.706
4600 0.607 0. 0.607
4800 0.686 0. 0.686
