param-n constr-real constr-sys constr-user make-uconstr-real make-uconstr-sys make-uconstr-user
0 0. 0. 0. 0. 0. 0.
1 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0.
100 0. 0. 0. 0.003 0.003 0.
200 0. 0. 0. 0.006 0.003 0.002
300 0.001 0. 0.001 0.009 0.007 0.002
400 0.001 0. 0.001 0.061 0. 0.061
500 0.001 0. 0.001 0.007 0. 0.007
600 0.002 0. 0.002 0.009 0. 0.009
700 0.002 0. 0.002 0.012 0. 0.012
800 0.003 0. 0.003 0.012 0. 0.012
900 0.004 0. 0.004 0.015 0. 0.015
1000 0.006 0. 0.006 0.015 0. 0.015
1100 0.007 0. 0.007 0.019 0. 0.019
1200 0.01 0. 0.01 0.024 0. 0.024
1300 0.014 0. 0.014 0.02 0. 0.02
1400 0.014 0. 0.014 0.021 0. 0.021
1500 0.017 0. 0.017 0.023 0. 0.023
1600 0.022 0. 0.022 0.025 0. 0.025
1700 0.028 0. 0.028 0.026 0. 0.026
1800 0.032 0. 0.032 0.035 0.002 0.032
1900 0.037 0. 0.037 0.033 0. 0.033
2000 0.038 0. 0.038 0.037 0. 0.037
2100 0.048 0. 0.048 0.035 0. 0.035
2200 0.053 0. 0.053 0.04 0. 0.04
2300 0.054 0. 0.054 0.047 0. 0.047
2400 0.06 0. 0.06 0.042 0. 0.042
2500 0.073 0. 0.073 0.049 0. 0.049
2600 0.074 0. 0.074 0.044 0. 0.044
2700 0.082 0. 0.082 0.052 0. 0.052
2800 0.096 0. 0.096 0.056 0. 0.056
2900 0.097 0. 0.097 0.057 0. 0.057
3000 0.116 0. 0.116 0.055 0. 0.055
3100 0.106 0. 0.106 0.059 0. 0.059
3200 0.119 0. 0.119 0.063 0. 0.063
3300 0.136 0. 0.136 0.06 0. 0.06
3400 0.148 0. 0.148 0.062 0. 0.062
3500 0.137 0. 0.137 0.059 0. 0.059
3600 0.159 0.003 0.155 0.065 0.007 0.058
3700 0.178 0.003 0.175 0.073 0. 0.073
3800 0.188 0. 0.188 0.069 0. 0.069
3900 0.194 0. 0.194 0.076 0. 0.076
4000 0.198 0. 0.198 0.072 0. 0.072
4100 0.182 0. 0.182 0.08 0. 0.08
4200 0.204 0.004 0.2 0.086 0.007 0.078
4300 0.216 0.003 0.212 0.098 0. 0.098
4400 0.257 0. 0.257 0.089 0.003 0.085
4500 0.26 0. 0.26 0.089 0. 0.089
4600 0.266 0. 0.266 0.08 0.003 0.076
4700 0.292 0.003 0.288 0.088 0. 0.088
4800 0.289 0. 0.289 0.085 0. 0.085
4900 0.316 0. 0.316 0.087 0. 0.087
5000 0.327 0. 0.327 0.087 0. 0.087
5100 0.316 0. 0.316 0.092 0. 0.092
5200 0.308 0. 0.308 0.1 0. 0.1
5300 0.313 0. 0.313 0.106 0. 0.106
5400 0.376 0. 0.376 0.096 0. 0.096
5500 0.393 0. 0.393 0.127 0. 0.127
5600 0.372 0. 0.372 0.131 0. 0.131
5700 0.415 0. 0.415 0.124 0. 0.124
5800 0.383 0. 0.383 0.112 0.007 0.104
5900 0.426 0. 0.426 0.108 0. 0.108
6000 0.435 0.004 0.431 0.122 0.003 0.118
6100 0.425 0. 0.425 0.117 0. 0.117
6200 0.442 0. 0.442 0.112 0. 0.112
6300 0.472 0. 0.472 0.111 0. 0.111
6400 0.477 0. 0.477 0.158 0. 0.158
6500 0.491 0. 0.491 0.151 0. 0.151
6600 0.543 0. 0.543 0.128 0. 0.128
6700 0.547 0. 0.547 0.14 0. 0.14
6800 0.54 0. 0.54 0.125 0. 0.125
6900 0.532 0. 0.532 0.126 0. 0.126
7000 0.601 0.007 0.593 0.206 0.011 0.194
7500 0.63 0.007 0.622 0.146 0. 0.145
8000 0.715 0.003 0.711 0.176 0.004 0.172
8500 0.792 0. 0.791 0.153 0.003 0.149
9000 0.891 0.007 0.882 0.182 0. 0.182
9500 1.004 0.004 0.999 0.199 0.003 0.195
10000 1.081 0.004 1.076 0.206 0.003 0.202
10500 1.193 0.003 1.188 0.194 0.004 0.19
11000 1.263 0. 1.262 0.218 0.003 0.213
11500 1.413 0. 1.412 0.255 0. 0.255
12000 1.557 0.011 1.541 0.229 0. 0.228
12500 1.643 0. 1.639 0.234 0. 0.233
13000 1.769 0. 1.765 0.258 0. 0.257
13500 1.909 0.003 1.904 0.282 0. 0.282
14000 2.018 0. 2.016 0.263 0.003 0.258
14500 2.223 0.003 2.217 0.278 0. 0.278
