param-n abstract-intros-real abstract-intros-sys abstract-intros-user close-abstract-real close-abstract-sys close-abstract-user intros-real intros-sys intros-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0. 0. 0. 0.
3 0. 0. 0. 0. 0. 0. 0. 0. 0.
4 0. 0. 0. 0. 0. 0. 0. 0. 0.
5 0. 0. 0. 0. 0. 0. 0. 0. 0.
6 0. 0. 0. 0. 0. 0. 0. 0. 0.
7 0. 0. 0. 0. 0. 0. 0. 0. 0.
8 0. 0. 0. 0. 0. 0. 0. 0. 0.
9 0. 0. 0. 0. 0. 0. 0. 0. 0.
10 0. 0. 0. 0. 0. 0. 0. 0. 0.
11 0. 0. 0. 0. 0. 0. 0. 0. 0.
12 0. 0. 0. 0. 0. 0. 0. 0. 0.
13 0. 0. 0. 0. 0. 0. 0. 0. 0.
14 0. 0. 0. 0. 0. 0. 0. 0. 0.
15 0. 0. 0. 0. 0. 0. 0. 0. 0.
16 0. 0. 0. 0. 0. 0. 0. 0. 0.
17 0. 0. 0. 0. 0. 0. 0. 0. 0.
18 0. 0. 0. 0. 0. 0. 0. 0. 0.
19 0. 0. 0. 0. 0. 0. 0. 0. 0.
20 0. 0. 0. 0. 0. 0. 0. 0. 0.
21 0. 0. 0. 0. 0. 0. 0. 0. 0.
22 0. 0. 0. 0. 0. 0. 0. 0. 0.
23 0. 0. 0. 0. 0. 0. 0. 0. 0.
24 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
25 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
26 0.001 0.001 0. 0. 0. 0. 0. 0. 0.
27 0.001 0.001 0. 0. 0. 0. 0. 0. 0.
28 0.001 0.001 0. 0. 0. 0. 0. 0. 0.
29 0.001 0.001 0. 0. 0. 0. 0. 0. 0.
30 0.001 0.001 0. 0. 0. 0. 0. 0. 0.
31 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
32 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
33 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
34 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
35 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
36 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
37 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
38 0.056 0.003 0.052 0. 0. 0. 0.055 0.003 0.052
39 0.001 0. 0. 0. 0. 0. 0. 0. 0.
40 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
41 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
42 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
43 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
44 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
45 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
46 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
47 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
