param-a-n param-fact-n beta-iota-fast-real beta-iota-fast-sys beta-iota-fast-user beta-iota-slow-real beta-iota-slow-sys beta-iota-slow-user unify-beta-iota-fast-real unify-beta-iota-fast-sys unify-beta-iota-fast-user unify-beta-iota-slow-real unify-beta-iota-slow-sys unify-beta-iota-slow-user
0 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
100 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
200 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
300 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
400 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
500 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
600 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
700 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
800 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
900 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001
1000 8 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
1100 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1200 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1300 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1400 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1500 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1600 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1700 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1800 8 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1900 8 0.001 0. 0.001 0.001 0. 0.001 0.002 0. 0.002 0.001 0. 0.001
2000 8 0.001 0. 0.001 0.001 0. 0.001 0.002 0. 0.002 0.001 0. 0.001
2100 8 0.002 0. 0.002 0.001 0. 0.001 0.002 0. 0.002 0.002 0. 0.002
2200 8 0.002 0. 0.002 0.001 0. 0.001 0.002 0. 0.002 0.002 0. 0.002
2300 8 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2400 8 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2500 8 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2600 8 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2700 8 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2800 8 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.002 0. 0.002
2900 8 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0.002 0. 0.002
3000 8 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.002 0. 0.002
3100 8 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
3200 8 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
3300 8 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
3400 8 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3500 8 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3600 8 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3700 8 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.003 0. 0.003
3800 8 0.004 0. 0.004 0.003 0. 0.003 0.004 0. 0.004 0.003 0. 0.003
3900 8 0.004 0. 0.004 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004
4000 8 0.004 0. 0.004 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004
4100 8 0.004 0. 0.004 0.003 0.003 0. 0.005 0. 0.005 0.004 0. 0.004
4200 8 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4300 8 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4400 8 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004
4500 8 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004
4600 8 0.005 0. 0.005 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004
4700 8 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004
4800 8 0.005 0. 0.005 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
4900 8 0.005 0. 0.005 0.004 0. 0.004 0.006 0. 0.006 0.005 0. 0.005
5000 8 0.005 0. 0.005 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004
5100 8 0.005 0. 0.005 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5200 8 0.005 0. 0.005 0.004 0. 0.004 0.006 0. 0.006 0.005 0. 0.005
5300 8 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
5400 8 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
5500 8 0.006 0. 0.006 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
5600 8 0.006 0. 0.006 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
5700 8 0.006 0. 0.006 0.005 0. 0.005 0.007 0. 0.007 0.005 0. 0.005
5800 8 0.007 0. 0.007 0.005 0. 0.005 0.007 0. 0.007 0.006 0. 0.006
5900 8 0.006 0. 0.006 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
6000 8 0.006 0. 0.006 0.005 0. 0.005 0.007 0. 0.007 0.006 0. 0.006
6100 8 0.006 0. 0.006 0.005 0. 0.005 0.007 0. 0.007 0.006 0. 0.006
6200 8 0.007 0. 0.007 0.005 0. 0.005 0.008 0. 0.008 0.006 0. 0.006
6300 8 0.006 0. 0.006 0.005 0. 0.005 0.007 0. 0.007 0.006 0. 0.006
6400 8 0.007 0. 0.007 0.006 0. 0.006 0.007 0. 0.007 0.006 0. 0.006
6500 8 0.007 0. 0.007 0.006 0. 0.006 0.007 0. 0.007 0.006 0. 0.006
6600 8 0.007 0. 0.007 0.006 0. 0.006 0.008 0. 0.008 0.007 0. 0.007
6700 8 0.007 0. 0.007 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
6800 8 0.007 0. 0.007 0.006 0. 0.006 0.008 0. 0.008 0.007 0. 0.007
6900 8 0.008 0. 0.008 0.006 0. 0.006 0.009 0. 0.009 0.007 0. 0.007
7000 8 0.007 0. 0.007 0.006 0. 0.006 0.008 0. 0.008 0.007 0. 0.007
7100 8 0.008 0. 0.008 0.006 0. 0.006 0.008 0. 0.008 0.007 0. 0.007
7200 8 0.008 0. 0.008 0.006 0. 0.006 0.009 0. 0.009 0.007 0. 0.007
7300 8 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.007 0. 0.007
7400 8 0.008 0. 0.008 0.007 0. 0.007 0.01 0. 0.01 0.008 0. 0.008
7500 8 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.008 0. 0.008
7600 8 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.008 0. 0.008
7700 8 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.008 0. 0.008
7800 8 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.008 0. 0.008
7900 8 0.009 0. 0.009 0.007 0. 0.007 0.011 0. 0.011 0.008 0. 0.008
8000 8 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009
8100 8 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.009 0. 0.009
8200 8 0.009 0. 0.009 0.007 0. 0.007 0.01 0. 0.01 0.008 0. 0.008
8300 8 0.009 0. 0.009 0.007 0. 0.007 0.01 0. 0.01 0.008 0. 0.008
8400 8 0.009 0. 0.009 0.007 0. 0.007 0.011 0. 0.011 0.008 0. 0.008
8500 8 0.01 0. 0.01 0.008 0. 0.008 0.011 0. 0.011 0.008 0. 0.008
8600 8 0.009 0. 0.009 0.008 0. 0.008 0.01 0. 0.01 0.009 0. 0.009
8700 8 0.01 0. 0.01 0.008 0. 0.008 0.011 0. 0.011 0.009 0. 0.009
8800 8 0.009 0. 0.009 0.008 0. 0.008 0.01 0. 0.01 0.009 0. 0.009
8900 8 0.01 0. 0.01 0.008 0. 0.008 0.012 0. 0.012 0.009 0. 0.009
9000 8 0.011 0. 0.011 0.008 0. 0.008 0.012 0. 0.012 0.01 0. 0.01
9100 8 0.01 0. 0.01 0.008 0. 0.008 0.011 0. 0.011 0.009 0. 0.009
9200 8 0.01 0. 0.01 0.008 0. 0.008 0.011 0. 0.011 0.01 0. 0.01
9300 8 0.01 0. 0.01 0.009 0. 0.009 0.012 0. 0.012 0.01 0. 0.01
9400 8 0.011 0. 0.011 0.009 0. 0.009 0.013 0. 0.013 0.01 0. 0.01
9500 8 0.011 0. 0.011 0.009 0. 0.009 0.012 0. 0.012 0.01 0. 0.01
9600 8 0.011 0. 0.011 0.008 0. 0.008 0.012 0. 0.012 0.01 0. 0.01
9700 8 0.012 0. 0.012 0.008 0. 0.008 0.013 0. 0.013 0.01 0. 0.01
9800 8 0.011 0. 0.011 0.009 0. 0.009 0.013 0. 0.013 0.01 0. 0.01
9900 8 0.011 0. 0.011 0.009 0. 0.009 0.012 0. 0.012 0.011 0. 0.011
10000 8 0.011 0. 0.011 0.009 0. 0.009 0.014 0. 0.014 0.01 0. 0.01
10100 8 0.011 0. 0.011 0.009 0. 0.009 0.013 0. 0.013 0.011 0. 0.011
10200 8 0.012 0. 0.012 0.01 0. 0.01 0.015 0. 0.015 0.011 0. 0.011
10300 8 0.011 0. 0.011 0.01 0. 0.01 0.012 0. 0.012 0.011 0. 0.011
10400 8 0.012 0. 0.012 0.01 0. 0.01 0.014 0. 0.014 0.011 0. 0.011
10500 8 0.012 0. 0.012 0.009 0. 0.01 0.013 0. 0.013 0.011 0. 0.011
10600 8 0.012 0. 0.012 0.01 0. 0.01 0.015 0. 0.015 0.011 0. 0.011
10700 8 0.012 0. 0.012 0.01 0. 0.01 0.014 0. 0.014 0.011 0. 0.011
10800 8 0.012 0. 0.012 0.01 0. 0.01 0.014 0. 0.014 0.011 0. 0.011
10900 8 0.012 0. 0.012 0.01 0. 0.01 0.015 0. 0.015 0.011 0. 0.011
11000 8 0.012 0. 0.012 0.011 0. 0.011 0.014 0. 0.014 0.013 0. 0.013
11100 8 0.012 0. 0.012 0.01 0. 0.01 0.014 0. 0.014 0.012 0. 0.012
11200 8 0.013 0. 0.013 0.011 0. 0.011 0.016 0. 0.016 0.012 0. 0.012
11300 8 0.013 0. 0.013 0.01 0. 0.01 0.016 0. 0.016 0.012 0. 0.012
11400 8 0.013 0. 0.013 0.011 0. 0.011 0.016 0. 0.016 0.012 0. 0.012
11500 8 0.013 0. 0.013 0.011 0. 0.011 0.015 0. 0.015 0.012 0. 0.012
11600 8 0.013 0. 0.013 0.011 0. 0.011 0.015 0. 0.015 0.012 0. 0.012
11700 8 0.013 0. 0.013 0.012 0. 0.012 0.014 0. 0.014 0.014 0. 0.014
11800 8 0.014 0. 0.014 0.011 0. 0.011 0.016 0. 0.016 0.013 0. 0.013
11900 8 0.013 0. 0.013 0.012 0. 0.012 0.018 0. 0.018 0.013 0. 0.013
12000 8 0.014 0. 0.014 0.012 0. 0.012 0.017 0. 0.017 0.013 0. 0.013
12100 8 0.013 0. 0.013 0.011 0. 0.011 0.015 0. 0.015 0.013 0. 0.013
12200 8 0.014 0. 0.014 0.012 0. 0.012 0.018 0. 0.018 0.014 0. 0.014
12300 8 0.015 0. 0.015 0.012 0. 0.012 0.017 0. 0.017 0.015 0. 0.015
12400 8 0.015 0. 0.015 0.012 0. 0.012 0.018 0. 0.018 0.013 0. 0.013
12500 8 0.014 0. 0.014 0.012 0. 0.012 0.016 0. 0.016 0.013 0. 0.013
12600 8 0.016 0. 0.016 0.012 0. 0.012 0.019 0. 0.019 0.015 0. 0.015
12700 8 0.014 0. 0.014 0.012 0. 0.012 0.018 0. 0.018 0.013 0. 0.013
12800 8 0.015 0. 0.015 0.012 0. 0.012 0.017 0. 0.017 0.014 0. 0.014
12900 8 0.015 0. 0.015 0.012 0. 0.012 0.017 0. 0.017 0.014 0. 0.014
13000 8 0.016 0. 0.016 0.012 0. 0.012 0.02 0. 0.02 0.015 0. 0.015
13100 8 0.015 0. 0.015 0.012 0. 0.012 0.018 0. 0.018 0.014 0. 0.014
13200 8 0.015 0. 0.015 0.013 0. 0.013 0.02 0. 0.02 0.015 0. 0.015
13300 8 0.015 0. 0.015 0.013 0. 0.013 0.018 0. 0.018 0.016 0. 0.016
13400 8 0.015 0. 0.015 0.013 0. 0.013 0.018 0. 0.018 0.016 0. 0.016
13500 8 0.016 0. 0.016 0.013 0. 0.013 0.02 0. 0.02 0.015 0. 0.015
13600 8 0.016 0. 0.016 0.013 0. 0.013 0.021 0. 0.021 0.015 0. 0.015
13700 8 0.016 0. 0.016 0.013 0. 0.013 0.02 0. 0.02 0.017 0. 0.017
13800 8 0.017 0. 0.017 0.014 0. 0.014 0.022 0. 0.022 0.018 0. 0.018
13900 8 0.016 0. 0.016 0.013 0. 0.013 0.019 0. 0.019 0.015 0. 0.015
14000 8 0.016 0. 0.016 0.015 0. 0.015 0.019 0. 0.019 0.018 0. 0.018
14100 8 0.016 0. 0.016 0.013 0. 0.013 0.018 0. 0.018 0.016 0. 0.016
14200 8 0.018 0. 0.018 0.014 0. 0.014 0.023 0. 0.023 0.016 0. 0.016
14300 8 0.017 0. 0.017 0.014 0. 0.014 0.019 0. 0.019 0.016 0. 0.016
14400 8 0.016 0. 0.016 0.014 0. 0.014 0.02 0. 0.02 0.017 0. 0.017
14500 8 0.017 0. 0.017 0.014 0. 0.014 0.021 0. 0.021 0.017 0. 0.017
14600 8 0.017 0. 0.017 0.015 0. 0.015 0.021 0. 0.021 0.017 0. 0.017
14700 8 0.018 0. 0.018 0.014 0. 0.014 0.021 0. 0.021 0.018 0. 0.018
14800 8 0.018 0. 0.018 0.014 0. 0.014 0.022 0. 0.022 0.017 0. 0.017
14900 8 0.018 0. 0.018 0.014 0. 0.014 0.023 0. 0.023 0.016 0. 0.016
15000 8 0.018 0. 0.018 0.015 0. 0.015 0.023 0. 0.023 0.017 0. 0.017
15100 8 0.019 0. 0.019 0.015 0. 0.015 0.025 0. 0.025 0.017 0. 0.017
15200 8 0.017 0. 0.017 0.014 0. 0.014 0.021 0. 0.021 0.017 0. 0.017
15300 8 0.018 0. 0.018 0.015 0. 0.015 0.021 0. 0.021 0.019 0. 0.019
15400 8 0.018 0. 0.018 0.015 0. 0.015 0.022 0. 0.022 0.017 0. 0.017
15500 8 0.019 0. 0.019 0.015 0. 0.015 0.023 0. 0.023 0.017 0. 0.017
15600 8 0.019 0. 0.019 0.015 0. 0.015 0.023 0. 0.023 0.017 0. 0.017
15700 8 0.018 0. 0.018 0.016 0. 0.016 0.024 0. 0.024 0.019 0. 0.019
15800 8 0.019 0. 0.019 0.015 0. 0.015 0.024 0. 0.024 0.018 0. 0.018
15900 8 0.019 0. 0.019 0.016 0. 0.016 0.025 0. 0.025 0.019 0. 0.019
16000 8 0.019 0. 0.019 0.016 0. 0.016 0.023 0. 0.023 0.018 0. 0.018
16100 8 0.019 0. 0.019 0.015 0. 0.015 0.026 0. 0.026 0.018 0. 0.018
16200 8 0.019 0. 0.019 0.016 0. 0.016 0.024 0. 0.024 0.018 0. 0.018
16300 8 0.019 0. 0.019 0.016 0. 0.016 0.025 0. 0.025 0.019 0. 0.019
16400 8 0.019 0. 0.019 0.016 0. 0.016 0.023 0. 0.023 0.02 0. 0.02
16500 8 0.02 0. 0.02 0.016 0. 0.016 0.026 0. 0.026 0.019 0. 0.019
16600 8 0.019 0. 0.019 0.017 0. 0.017 0.025 0. 0.025 0.02 0. 0.02
16700 8 0.02 0. 0.02 0.017 0. 0.017 0.024 0. 0.024 0.021 0. 0.021
16800 8 0.02 0. 0.02 0.017 0. 0.017 0.026 0. 0.026 0.02 0. 0.02
16900 8 0.019 0. 0.019 0.016 0. 0.016 0.024 0. 0.024 0.02 0. 0.02
17000 8 0.02 0. 0.02 0.017 0. 0.017 0.024 0. 0.024 0.02 0. 0.02
17100 8 0.02 0. 0.02 0.017 0. 0.017 0.025 0. 0.025 0.021 0. 0.021
17200 8 0.02 0. 0.02 0.017 0. 0.017 0.027 0.003 0.023 0.02 0. 0.02
17300 8 0.022 0. 0.022 0.017 0. 0.017 0.026 0. 0.026 0.022 0. 0.022
17400 8 0.02 0. 0.02 0.017 0. 0.017 0.026 0. 0.026 0.021 0. 0.021
17500 8 0.021 0. 0.021 0.018 0. 0.018 0.026 0. 0.026 0.021 0. 0.021
17600 8 0.021 0. 0.021 0.017 0. 0.017 0.027 0. 0.027 0.021 0. 0.021
17700 8 0.02 0. 0.02 0.018 0. 0.018 0.025 0. 0.025 0.02 0. 0.02
17800 8 0.02 0. 0.02 0.018 0. 0.018 0.026 0. 0.026 0.022 0. 0.022
17900 8 0.021 0. 0.021 0.017 0. 0.017 0.026 0. 0.026 0.023 0. 0.023
18000 8 0.021 0. 0.021 0.018 0. 0.018 0.028 0. 0.028 0.022 0. 0.022
18100 8 0.021 0. 0.021 0.018 0. 0.018 0.026 0. 0.026 0.022 0. 0.022
18200 8 0.022 0. 0.022 0.018 0. 0.018 0.026 0. 0.026 0.023 0. 0.023
18300 8 0.022 0. 0.022 0.018 0. 0.018 0.026 0. 0.026 0.022 0. 0.022
18400 8 0.021 0. 0.021 0.018 0. 0.018 0.029 0. 0.029 0.022 0. 0.022
18500 8 0.024 0. 0.024 0.018 0. 0.018 0.027 0. 0.027 0.021 0. 0.021
18600 8 0.021 0. 0.021 0.018 0. 0.018 0.027 0. 0.027 0.021 0. 0.021
