param-a-n param-fact-n abstract-unify-beta-iota-fast-real abstract-unify-beta-iota-fast-sys abstract-unify-beta-iota-fast-user abstract-unify-beta-iota-slow-real abstract-unify-beta-iota-slow-sys abstract-unify-beta-iota-slow-user beta-iota-fast-real beta-iota-fast-sys beta-iota-fast-user beta-iota-slow-real beta-iota-slow-sys beta-iota-slow-user unify-beta-iota-fast-real unify-beta-iota-fast-sys unify-beta-iota-fast-user unify-beta-iota-slow-real unify-beta-iota-slow-sys unify-beta-iota-slow-user
0 9 0. 0. 0. 1.826 0.007 1.818 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 9 0. 0. 0. 1.748 0. 1.748 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 9 0. 0. 0. 1.773 0. 1.773 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
100 9 0.003 0. 0.003 1.842 0.031 1.81 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
200 9 0.006 0. 0.006 1.8 0. 1.799 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
300 9 0.008 0. 0.008 1.819 0. 1.819 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
400 9 0.012 0. 0.012 1.802 0. 1.802 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
500 9 0.015 0. 0.015 1.761 0. 1.761 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
600 9 0.018 0. 0.018 1.764 0. 1.764 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
700 9 0.021 0. 0.021 1.774 0. 1.774 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
800 9 0.025 0. 0.025 1.787 0. 1.787 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
900 9 0.027 0. 0.027 1.758 0. 1.758 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
