Params: a-n= 1100 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.u,0.001s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.187 secs (0.186u,0.001s) (success)
Params: a-n= 1200 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.192 secs (0.192u,0.s) (success)
Params: a-n= 1300 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.192 secs (0.192u,0.s) (success)
Params: a-n= 1400 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.196 secs (0.196u,0.s) (success)
Params: a-n= 1500 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.201 secs (0.201u,0.s) (success)
Params: a-n= 1600 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.201 secs (0.201u,0.s) (success)
Params: a-n= 1700 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.205 secs (0.205u,0.s) (success)
Params: a-n= 1800 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.23 secs (0.23u,0.s) (success)
Params: a-n= 1900 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.234 secs (0.234u,0.s) (success)
Params: a-n= 2000 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.236 secs (0.236u,0.s) (success)
Params: a-n= 2100 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.243 secs (0.243u,0.s) (success)
Params: a-n= 2200 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.214 secs (0.214u,0.s) (success)
Params: a-n= 2300 , fact-n= 8
Tactic call beta-iota-slow ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.214 secs (0.214u,0.s) (success)
Params: a-n= 2400 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.216 secs (0.216u,0.s) (success)
Params: a-n= 2500 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.217 secs (0.217u,0.s) (success)
Params: a-n= 2600 , fact-n= 8
