Params: a-n= 0 , fact-n= 9
Tactic call beta-iota-slow ran for 0. secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0. secs (0.u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 4.178 secs (4.118u,0.059s) (success)
Params: a-n= 1 , fact-n= 9
Tactic call beta-iota-slow ran for 0. secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0. secs (0.u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 3.245 secs (3.245u,0.s) (success)
Params: a-n= 2 , fact-n= 9
Tactic call beta-iota-slow ran for 0. secs (0.u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 3.08 secs (3.079u,0.s) (success)
