param-a-extra-binders param-ctx-size param-nevars beta-F-ev-real beta-F-ev-sys beta-F-ev-user beta-F-tt-real beta-F-tt-sys beta-F-tt-user beta-FX-ev-real beta-FX-ev-sys beta-FX-ev-user beta-FX-tt-real beta-FX-tt-sys beta-FX-tt-user deta-id-FX-ev-real deta-id-FX-ev-sys deta-id-FX-ev-user deta-id-FX-tt-real deta-id-FX-tt-sys deta-id-FX-tt-user make-evars-real make-evars-sys make-evars-user make-fun-ev-real make-fun-ev-sys make-fun-ev-user make-fun-tt-real make-fun-tt-sys make-fun-tt-user make-tts-real make-tts-sys make-tts-user open-constr-F-ev-real open-constr-F-ev-sys open-constr-F-ev-user open-constr-F-tt-real open-constr-F-tt-sys open-constr-F-tt-user open-constr-FX-ev-real open-constr-FX-ev-sys open-constr-FX-ev-user open-constr-FX-tt-real open-constr-FX-tt-sys open-constr-FX-tt-user prebeta-FX-ev-real prebeta-FX-ev-sys prebeta-FX-ev-user prebeta-FX-tt-real prebeta-FX-tt-sys prebeta-FX-tt-user
1 100 1000 0. 0. 0. 0. 0. 0. 0.009 0. 0.009 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.03 0. 0.03 0. 0. 0. 0. 0. 0. 0.044 0. 0.044 0. 0. 0. 0. 0. 0. 0.056 0. 0.056 0.01 0. 0.01 0.005 0. 0.005 0. 0. 0.
2 100 1000 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.03 0. 0.03 0. 0. 0. 0. 0. 0. 0.043 0. 0.043 0. 0. 0. 0. 0. 0. 0.057 0. 0.057 0.009 0. 0.009 0.006 0. 0.006 0. 0. 0.
3 100 1000 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.03 0. 0.03 0. 0. 0. 0. 0. 0. 0.043 0. 0.043 0. 0. 0. 0. 0. 0. 0.056 0. 0.056 0.009 0. 0.009 0.006 0. 0.006 0. 0. 0.
100 100 1000 0. 0. 0. 0. 0. 0. 0.01 0.007 0.002 0. 0. 0. 0.009 0.004 0.005 0. 0. 0. 0.031 0. 0.031 0.013 0. 0.013 0.026 0. 0.026 0.044 0. 0.044 0. 0. 0. 0. 0. 0. 0.058 0. 0.058 0.01 0. 0.01 0.009 0.003 0.006 0. 0. 0.
200 100 1000 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.03 0. 0.03 0.036 0. 0.036 0.062 0. 0.062 0.045 0. 0.045 0. 0. 0. 0. 0. 0. 0.089 0.003 0.085 0.01 0. 0.01 0.005 0. 0.005 0. 0. 0.
300 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.038 0. 0.038 0. 0. 0. 0.031 0. 0.031 0.134 0. 0.134 0.171 0. 0.171 0.043 0. 0.043 0.001 0. 0.001 0.001 0. 0.001 0.057 0. 0.057 0.011 0. 0.011 0.006 0. 0.006 0. 0. 0.
400 100 1000 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.035 0. 0.035 0. 0. 0. 0.03 0. 0.03 0.24 0. 0.24 0.296 0.003 0.292 0.043 0. 0.043 0.001 0. 0.001 0.001 0. 0.001 0.06 0. 0.059 0.013 0. 0.013 0.006 0. 0.006 0. 0. 0.
500 100 1000 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.034 0. 0.033 0. 0. 0. 0.03 0. 0.03 0.361 0. 0.36 0.436 0. 0.434 0.044 0. 0.044 0.002 0. 0.002 0.002 0. 0.002 0.062 0. 0.062 0.013 0. 0.013 0.006 0. 0.006 0. 0. 0.
600 100 1000 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.032 0. 0.032 0. 0. 0. 0.03 0. 0.03 0.476 0. 0.474 0.58 0.007 0.571 0.043 0. 0.043 0.004 0. 0.004 0.004 0. 0.004 0.062 0. 0.062 0.014 0. 0.014 0.006 0. 0.006 0. 0. 0.
700 100 1000 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.031 0. 0.031 0.617 0. 0.616 0.739 0. 0.738 0.044 0. 0.044 0.006 0. 0.006 0.005 0. 0.005 0.064 0. 0.064 0.017 0. 0.017 0.035 0. 0.035 0.001 0. 0.
800 100 1000 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.03 0. 0.03 0.825 0. 0.824 0.904 0. 0.903 0.043 0. 0.043 0.008 0. 0.008 0.008 0. 0.008 0.068 0. 0.067 0.019 0. 0.019 0.034 0. 0.034 0.001 0. 0.
900 100 1000 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.03 0. 0.03 1.018 0. 1.017 1.13 0.008 1.121 0.043 0. 0.043 0.011 0. 0.011 0.01 0. 0.01 0.071 0. 0.071 0.023 0. 0.023 0.039 0.007 0.031 0.001 0. 0.001
1000 100 1000 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.03 0.004 0.026 1.226 0.008 1.216 1.414 0.032 1.38 0.043 0. 0.043 0.015 0. 0.015 0.014 0. 0.014 0.118 0.008 0.109 0.025 0. 0.025 0.006 0. 0.006 0.001 0. 0.001
1100 100 1000 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.03 0. 0.03 1.593 0.044 1.548 1.702 0.027 1.674 0.043 0. 0.043 0.019 0. 0.019 0.018 0. 0.018 0.135 0.007 0.127 0.03 0. 0.03 0.007 0. 0.006 0.001 0. 0.001
1200 100 1000 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.03 0. 0.03 1.906 0.024 1.88 2.074 0.043 2.03 0.042 0. 0.042 0.023 0. 0.023 0.022 0. 0.022 0.12 0. 0.12 0.036 0. 0.036 0.006 0. 0.006 0.001 0. 0.001
1300 100 1000 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.029 0. 0.029 2.185 0.039 2.145 2.381 0.059 2.321 0.042 0. 0.042 0.027 0. 0.027 0.027 0. 0.027 0.12 0.004 0.116 0.04 0. 0.04 0.006 0. 0.006 0.001 0. 0.001
1400 100 1000 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.03 0. 0.03 2.395 0.039 2.355 2.705 0.055 2.649 0.045 0. 0.045 0.034 0. 0.034 0.033 0. 0.033 0.131 0. 0.131 0.045 0. 0.045 0.006 0. 0.006 0.001 0. 0.001
