param-a-ctx-size param-extra-binders param-nevars beta-F-ev-real beta-F-ev-sys beta-F-ev-user beta-F-tt-real beta-F-tt-sys beta-F-tt-user beta-FX-ev-real beta-FX-ev-sys beta-FX-ev-user beta-FX-tt-real beta-FX-tt-sys beta-FX-tt-user deta-id-FX-ev-real deta-id-FX-ev-sys deta-id-FX-ev-user deta-id-FX-tt-real deta-id-FX-tt-sys deta-id-FX-tt-user make-evars-real make-evars-sys make-evars-user make-fun-ev-real make-fun-ev-sys make-fun-ev-user make-fun-tt-real make-fun-tt-sys make-fun-tt-user make-tts-real make-tts-sys make-tts-user open-constr-F-ev-real open-constr-F-ev-sys open-constr-F-ev-user open-constr-F-tt-real open-constr-F-tt-sys open-constr-F-tt-user open-constr-FX-ev-real open-constr-FX-ev-sys open-constr-FX-ev-user open-constr-FX-tt-real open-constr-FX-tt-sys open-constr-FX-tt-user prebeta-FX-ev-real prebeta-FX-ev-sys prebeta-FX-ev-user prebeta-FX-tt-real prebeta-FX-tt-sys prebeta-FX-tt-user
1 100 1000 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.017 0.003 0.014 0.012 0. 0.012 0.024 0. 0.024 0.018 0. 0.018 0. 0. 0. 0. 0. 0. 0.021 0. 0.02 0.006 0. 0.006 0. 0. 0. 0. 0. 0.
2 100 1000 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.017 0. 0.017 0.012 0. 0.012 0.023 0. 0.023 0.018 0. 0.018 0. 0. 0. 0. 0. 0. 0.019 0. 0.019 0.006 0. 0.006 0. 0. 0. 0. 0. 0.
3 100 1000 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.017 0. 0.017 0.012 0. 0.012 0.025 0. 0.025 0.018 0. 0.018 0. 0. 0. 0. 0. 0. 0.02 0. 0.02 0.006 0. 0.006 0. 0. 0. 0. 0. 0.
100 100 1000 0. 0. 0. 0. 0. 0. 0.01 0. 0.01 0. 0. 0. 0.009 0. 0.009 0. 0. 0. 0.031 0. 0.031 0.013 0. 0.013 0.025 0. 0.025 0.044 0. 0.044 0. 0. 0. 0. 0. 0. 0.059 0.003 0.055 0.01 0. 0.01 0.01 0. 0.009 0. 0. 0.
200 100 1000 0. 0. 0. 0. 0. 0. 0.063 0. 0.063 0. 0. 0. 0.011 0. 0.011 0. 0. 0. 0.054 0. 0.054 0.012 0. 0.012 0.025 0. 0.025 0.08 0. 0.08 0. 0. 0. 0. 0. 0. 0.126 0. 0.126 0.014 0. 0.014 0.01 0. 0.01 0. 0. 0.
300 100 1000 0. 0. 0. 0. 0. 0. 0.13 0. 0.13 0. 0. 0. 0.215 0.003 0.211 0. 0. 0. 0.157 0. 0.157 0.012 0. 0.012 0.028 0. 0.028 0.204 0. 0.204 0. 0. 0. 0. 0. 0. 0.5 0.003 0.496 0.021 0. 0.021 0.022 0. 0.022 0. 0. 0.
400 100 1000 0. 0. 0. 0. 0. 0. 0.133 0.007 0.125 0. 0. 0. 0.178 0.011 0.166 0. 0. 0. 0.261 0. 0.261 0.012 0. 0.012 0.028 0. 0.028 0.325 0. 0.325 0. 0. 0. 0. 0. 0. 0.593 0. 0.593 0.029 0. 0.029 0.022 0. 0.022 0. 0. 0.
500 100 1000 0. 0. 0. 0. 0. 0. 0.206 0.007 0.198 0. 0. 0. 0.218 0.015 0.203 0. 0. 0. 0.367 0. 0.367 0.013 0. 0.013 0.029 0. 0.029 0.462 0. 0.462 0. 0. 0. 0. 0. 0. 0.694 0. 0.694 0.042 0. 0.042 0.028 0. 0.028 0. 0. 0.
600 100 1000 0. 0. 0. 0. 0. 0. 0.225 0.007 0.217 0. 0. 0. 0.225 0.012 0.213 0. 0. 0. 0.483 0. 0.483 0.012 0. 0.012 0.028 0. 0.028 0.629 0. 0.629 0. 0. 0. 0. 0. 0. 0.813 0.019 0.793 0.061 0. 0.061 0.034 0.007 0.026 0. 0. 0.
700 100 1000 0. 0. 0. 0. 0. 0. 0.183 0.003 0.179 0. 0. 0. 0.305 0.008 0.297 0. 0. 0. 0.652 0. 0.652 0.012 0. 0.012 0.028 0. 0.028 0.823 0. 0.823 0. 0. 0. 0. 0. 0. 1.056 0.028 1.028 0.079 0. 0.079 0.042 0.003 0.038 0.001 0. 0.001
800 100 1000 0. 0. 0. 0. 0. 0. 0.188 0.015 0.172 0. 0. 0. 0.195 0.02 0.175 0. 0. 0. 0.861 0. 0.861 0.012 0. 0.012 0.029 0. 0.029 1.034 0. 1.034 0. 0. 0. 0. 0. 0. 1.257 0.027 1.229 0.093 0. 0.093 0.049 0.008 0.041 0. 0. 0.
900 100 1000 0. 0. 0. 0. 0. 0. 0.324 0.012 0.312 0. 0. 0. 0.318 0.019 0.298 0. 0. 0. 1.042 0. 1.042 0.013 0. 0.013 0.029 0. 0.029 1.245 0. 1.245 0. 0. 0. 0. 0. 0. 1.379 0.051 1.327 0.112 0. 0.112 0.076 0. 0.076 0. 0. 0.
1000 100 1000 0. 0. 0. 0. 0. 0. 0.232 0.019 0.212 0. 0. 0. 0.499 0.004 0.495 0. 0. 0. 1.242 0.007 1.234 0.012 0. 0.012 0.029 0. 0.029 1.5 0. 1.5 0. 0. 0. 0. 0. 0. 1.635 0.063 1.571 0.13 0. 0.13 0.066 0. 0.066 0. 0. 0.
1100 100 1000 0. 0. 0. 0. 0. 0. 0.193 0.02 0.173 0. 0. 0. 0.221 0.04 0.181 0. 0. 0. 1.442 0.044 1.397 0.012 0. 0.012 0.029 0. 0.029 1.618 0. 1.617 0. 0. 0. 0. 0. 0. 1.568 0.044 1.523 0.146 0. 0.146 0.074 0.019 0.054 0.001 0. 0.001
1200 100 1000 0. 0. 0. 0. 0. 0. 0.246 0.011 0.234 0. 0. 0. 0.308 0.031 0.275 0. 0. 0. 1.67 0.011 1.657 0.012 0. 0.012 0.029 0. 0.029 1.849 0. 1.848 0. 0. 0. 0. 0. 0. 2.029 0.071 1.955 0.162 0. 0.162 0.075 0.003 0.071 0.001 0. 0.001
1300 100 1000 0. 0. 0. 0. 0. 0. 0.413 0.027 0.385 0.001 0. 0.001 0.372 0.011 0.359 0.001 0. 0.001 1.949 0.019 1.927 0.012 0. 0.012 0.029 0. 0.029 2.336 0.007 2.324 0. 0. 0. 0. 0. 0. 2.003 0.055 1.945 0.181 0. 0.181 0.065 0.012 0.053 0.001 0. 0.001
1400 100 1000 0. 0. 0. 0. 0. 0. 0.44 0.012 0.428 0. 0. 0. 0.352 0.015 0.336 0. 0. 0. 2.312 0.007 2.297 0.012 0. 0.012 0.03 0. 0.03 2.472 0. 2.47 0. 0. 0. 0. 0. 0. 2.073 0.047 2.021 0.199 0. 0.199 0.07 0.003 0.066 0.001 0. 0.001
1500 100 1000 0. 0. 0. 0. 0. 0. 0.24 0.016 0.224 0.001 0. 0.001 0.63 0.015 0.614 0.001 0. 0.001 2.526 0.063 2.459 0.012 0. 0.012 0.029 0. 0.029 2.749 0. 2.746 0. 0. 0. 0. 0. 0. 2.291 0.052 2.236 0.216 0. 0.215 0.114 0.003 0.11 0.001 0. 0.001
1600 100 1000 0. 0. 0. 0. 0. 0. 0.274 0.023 0.25 0.001 0. 0.001 0.432 0.011 0.42 0.001 0. 0.001 3.119 0.047 3.068 0.012 0. 0.012 0.029 0. 0.029 3.491 0. 3.487 0. 0. 0. 0. 0. 0. 2.675 0.075 2.597 0.239 0. 0.238 0.091 0.007 0.083 0.001 0. 0.001
1700 100 1000 0. 0. 0. 0. 0. 0. 0.327 0.016 0.311 0.001 0. 0.001 0.388 0.044 0.343 0.001 0. 0.001 3.608 0.083 3.52 0.012 0. 0.012 0.029 0. 0.029 3.815 0. 3.812 0. 0. 0. 0. 0. 0. 2.901 0.096 2.801 0.257 0. 0.257 0.116 0.012 0.103 0.001 0. 0.001
