param-a-extra-binders param-ctx-size param-nevars beta-F-ev-real beta-F-ev-sys beta-F-ev-user beta-F-tt-real beta-F-tt-sys beta-F-tt-user beta-FX-ev-real beta-FX-ev-sys beta-FX-ev-user beta-FX-tt-real beta-FX-tt-sys beta-FX-tt-user deta-id-FX-ev-real deta-id-FX-ev-sys deta-id-FX-ev-user deta-id-FX-tt-real deta-id-FX-tt-sys deta-id-FX-tt-user make-evars-real make-evars-sys make-evars-user make-fun-ev-real make-fun-ev-sys make-fun-ev-user make-fun-tt-real make-fun-tt-sys make-fun-tt-user make-tts-real make-tts-sys make-tts-user open-constr-F-ev-real open-constr-F-ev-sys open-constr-F-ev-user open-constr-F-tt-real open-constr-F-tt-sys open-constr-F-tt-user open-constr-FX-ev-real open-constr-FX-ev-sys open-constr-FX-ev-user open-constr-FX-tt-real open-constr-FX-tt-sys open-constr-FX-tt-user prebeta-FX-ev-real prebeta-FX-ev-sys prebeta-FX-ev-user prebeta-FX-tt-real prebeta-FX-tt-sys prebeta-FX-tt-user
1 100 1000 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.031 0. 0.031 0. 0. 0. 0. 0. 0. 0.046 0. 0.046 0. 0. 0. 0. 0. 0. 0.055 0. 0.055 0.01 0. 0.01 0.004 0. 0.004 0. 0. 0.
2 100 1000 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.03 0. 0.03 0. 0. 0. 0. 0. 0. 0.044 0. 0.044 0. 0. 0. 0. 0. 0. 0.055 0. 0.055 0.01 0. 0.01 0.004 0. 0.004 0. 0. 0.
3 100 1000 0. 0. 0. 0. 0. 0. 0.003 0. 0.003 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.03 0. 0.03 0. 0. 0. 0. 0. 0. 0.044 0. 0.044 0. 0. 0. 0. 0. 0. 0.055 0. 0.055 0.01 0. 0.01 0.005 0. 0.005 0. 0. 0.
100 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.006 0.003 0.002 0. 0. 0. 0.031 0. 0.031 0.012 0. 0.012 0.025 0. 0.025 0.044 0. 0.044 0. 0. 0. 0. 0. 0. 0.059 0. 0.059 0.01 0. 0.01 0.008 0. 0.008 0. 0. 0.
200 100 1000 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.031 0. 0.031 0.034 0. 0.034 0.059 0. 0.059 0.044 0. 0.044 0. 0. 0. 0. 0. 0. 0.089 0. 0.089 0.01 0. 0.01 0.005 0. 0.005 0. 0. 0.
300 100 1000 0. 0. 0. 0. 0. 0. 0.032 0. 0.032 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.031 0. 0.031 0.129 0. 0.129 0.166 0. 0.166 0.044 0. 0.044 0. 0. 0. 0. 0. 0. 0.058 0. 0.058 0.011 0. 0.011 0.006 0. 0.006 0. 0. 0.
400 100 1000 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.035 0. 0.035 0. 0. 0. 0.031 0. 0.031 0.236 0. 0.236 0.289 0.003 0.285 0.044 0. 0.044 0.001 0. 0.001 0.001 0. 0.001 0.059 0. 0.059 0.012 0. 0.012 0.006 0. 0.006 0. 0. 0.
500 100 1000 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.031 0. 0.031 0.356 0. 0.356 0.428 0.003 0.424 0.044 0. 0.044 0.002 0. 0.002 0.002 0. 0.002 0.061 0. 0.061 0.013 0. 0.013 0.035 0. 0.035 0. 0. 0.
600 100 1000 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.031 0. 0.031 0.464 0. 0.464 0.572 0.003 0.568 0.044 0. 0.044 0.004 0. 0.004 0.003 0. 0.003 0.063 0. 0.063 0.015 0. 0.015 0.033 0. 0.033 0.001 0. 0.001
700 100 1000 0. 0. 0. 0. 0. 0. 0.004 0.003 0. 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.032 0. 0.032 0.607 0. 0.607 0.716 0.004 0.712 0.045 0. 0.045 0.006 0. 0.006 0.005 0. 0.005 0.065 0. 0.065 0.017 0. 0.017 0.034 0. 0.034 0.001 0. 0.001
