param-a-ctx-size param-extra-binders param-nevars beta-F-ev-real beta-F-ev-sys beta-F-ev-user beta-F-tt-real beta-F-tt-sys beta-F-tt-user beta-FX-ev-real beta-FX-ev-sys beta-FX-ev-user beta-FX-tt-real beta-FX-tt-sys beta-FX-tt-user deta-id-FX-ev-real deta-id-FX-ev-sys deta-id-FX-ev-user deta-id-FX-tt-real deta-id-FX-tt-sys deta-id-FX-tt-user make-evars-real make-evars-sys make-evars-user make-fun-ev-real make-fun-ev-sys make-fun-ev-user make-fun-tt-real make-fun-tt-sys make-fun-tt-user make-tts-real make-tts-sys make-tts-user open-constr-F-ev-real open-constr-F-ev-sys open-constr-F-ev-user open-constr-F-tt-real open-constr-F-tt-sys open-constr-F-tt-user open-constr-FX-ev-real open-constr-FX-ev-sys open-constr-FX-ev-user open-constr-FX-tt-real open-constr-FX-tt-sys open-constr-FX-tt-user prebeta-FX-ev-real prebeta-FX-ev-sys prebeta-FX-ev-user prebeta-FX-tt-real prebeta-FX-tt-sys prebeta-FX-tt-user
1 100 1000 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.017 0. 0.017 0.012 0. 0.012 0.024 0. 0.024 0.018 0. 0.018 0. 0. 0. 0. 0. 0. 0.021 0. 0.021 0.006 0. 0.006 0. 0. 0. 0. 0. 0.
2 100 1000 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.018 0. 0.018 0.013 0. 0.013 0.025 0. 0.025 0.019 0. 0.019 0. 0. 0. 0. 0. 0. 0.019 0. 0.019 0.007 0. 0.007 0. 0. 0. 0. 0. 0.
3 100 1000 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.018 0. 0.018 0.012 0. 0.012 0.024 0. 0.024 0.019 0. 0.019 0. 0. 0. 0. 0. 0. 0.02 0. 0.02 0.007 0. 0.007 0.001 0. 0.001 0. 0. 0.
100 100 1000 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.007 0.003 0.003 0. 0. 0. 0.032 0. 0.032 0.012 0. 0.012 0.025 0. 0.025 0.044 0. 0.044 0. 0. 0. 0. 0. 0. 0.06 0. 0.06 0.01 0. 0.01 0.008 0. 0.008 0. 0. 0.
200 100 1000 0. 0. 0. 0. 0. 0. 0.009 0. 0.009 0. 0. 0. 0.01 0. 0.01 0. 0. 0. 0.057 0. 0.057 0.012 0. 0.012 0.025 0. 0.025 0.081 0. 0.081 0. 0. 0. 0. 0. 0. 0.125 0.007 0.117 0.014 0. 0.014 0.01 0. 0.01 0. 0. 0.
300 100 1000 0. 0. 0. 0. 0. 0. 0.015 0.003 0.011 0. 0. 0. 0.017 0.003 0.013 0. 0. 0. 0.162 0. 0.162 0.013 0. 0.013 0.028 0. 0.028 0.205 0. 0.205 0. 0. 0. 0. 0. 0. 0.516 0. 0.516 0.02 0. 0.02 0.127 0. 0.127 0.002 0. 0.002
400 100 1000 0. 0. 0. 0. 0. 0. 0.02 0.003 0.016 0. 0. 0. 0.021 0. 0.021 0. 0. 0. 0.269 0. 0.269 0.012 0. 0.012 0.028 0. 0.028 0.323 0. 0.323 0. 0. 0. 0. 0. 0. 0.648 0.003 0.644 0.031 0. 0.031 0.138 0.003 0.134 0.003 0. 0.003
500 100 1000 0. 0. 0. 0. 0. 0. 0.019 0. 0.019 0. 0. 0. 0.028 0.003 0.024 0. 0. 0. 0.368 0. 0.368 0.012 0. 0.012 0.028 0. 0.028 0.462 0. 0.462 0. 0. 0. 0. 0. 0. 0.73 0. 0.73 0.046 0. 0.046 0.121 0. 0.121 0.004 0. 0.004
600 100 1000 0. 0. 0. 0. 0. 0. 0.032 0.004 0.028 0. 0. 0. 0.029 0. 0.029 0. 0. 0. 0.486 0. 0.486 0.013 0. 0.012 0.028 0. 0.028 0.621 0. 0.621 0. 0. 0. 0. 0. 0. 0.868 0.011 0.856 0.061 0. 0.061 0.187 0.003 0.183 0.005 0. 0.005
700 100 1000 0. 0. 0. 0. 0. 0. 0.033 0. 0.032 0. 0. 0. 0.034 0. 0.034 0. 0. 0. 0.658 0. 0.658 0.012 0. 0.012 0.031 0. 0.031 0.808 0. 0.808 0. 0. 0. 0. 0. 0. 1.088 0.023 1.064 0.085 0. 0.085 0.195 0. 0.195 0.006 0. 0.006
800 100 1000 0. 0. 0. 0. 0. 0. 0.029 0.004 0.025 0. 0. 0. 0.031 0. 0.031 0. 0. 0. 0.862 0. 0.862 0.012 0. 0.012 0.029 0. 0.029 1.028 0. 1.028 0. 0. 0. 0. 0. 0. 1.266 0.015 1.25 0.107 0. 0.107 0.14 0.008 0.132 0.007 0. 0.007
900 100 1000 0. 0. 0. 0. 0. 0. 0.056 0.004 0.052 0. 0. 0. 0.035 0.003 0.031 0. 0. 0. 1.051 0. 1.051 0.012 0. 0.012 0.029 0. 0.029 1.256 0. 1.256 0. 0. 0. 0. 0. 0. 1.501 0.027 1.473 0.128 0. 0.128 0.166 0.004 0.162 0.009 0. 0.009
1000 100 1000 0. 0. 0. 0. 0. 0. 0.046 0.007 0.038 0. 0. 0. 0.046 0. 0.046 0. 0. 0. 1.267 0. 1.267 0.013 0. 0.013 0.029 0. 0.029 1.546 0. 1.546 0. 0. 0. 0. 0. 0. 1.879 0.075 1.803 0.152 0. 0.152 0.325 0.008 0.317 0.011 0. 0.011
1100 100 1000 0. 0. 0. 0. 0. 0. 0.04 0. 0.04 0. 0. 0. 0.041 0.004 0.037 0. 0. 0. 1.57 0.051 1.518 0.012 0. 0.012 0.03 0. 0.03 1.758 0. 1.757 0. 0. 0. 0. 0. 0. 1.966 0.048 1.917 0.17 0. 0.17 0.197 0.015 0.181 0.013 0. 0.013
1200 100 1000 0. 0. 0. 0. 0. 0. 0.046 0.003 0.042 0. 0. 0. 0.057 0. 0.057 0. 0. 0. 1.82 0.02 1.799 0.012 0. 0.012 0.029 0. 0.029 2.107 0. 2.107 0. 0. 0. 0. 0. 0. 2.341 0.056 2.285 0.192 0. 0.192 0.208 0.003 0.205 0.016 0. 0.016
1300 100 1000 0. 0. 0. 0. 0. 0. 0.048 0.004 0.044 0. 0. 0. 0.098 0.015 0.082 0. 0. 0. 2.194 0.04 2.154 0.012 0. 0.012 0.029 0. 0.029 2.457 0. 2.457 0. 0. 0. 0. 0. 0. 2.499 0.055 2.443 0.218 0. 0.218 0.216 0.003 0.212 0.019 0. 0.019
1400 100 1000 0. 0. 0. 0. 0. 0. 0.098 0.003 0.094 0. 0. 0. 0.064 0. 0.064 0. 0. 0. 2.48 0.024 2.456 0.012 0. 0.012 0.031 0. 0.03 2.78 0. 2.78 0. 0. 0. 0. 0. 0. 2.73 0.067 2.662 0.249 0.003 0.246 0.284 0. 0.284 0.023 0. 0.023
1500 100 1000 0. 0. 0. 0. 0. 0. 0.067 0. 0.067 0. 0. 0. 0.067 0.003 0.063 0. 0. 0. 2.94 0.035 2.904 0.012 0. 0.012 0.029 0. 0.029 3.059 0. 3.059 0. 0. 0. 0. 0. 0. 3.051 0.071 2.979 0.269 0.003 0.265 0.452 0.016 0.436 0.064 0. 0.064
1600 100 1000 0. 0. 0. 0. 0. 0. 0.058 0. 0.058 0. 0. 0. 0.059 0.004 0.054 0. 0. 0. 3.308 0.084 3.224 0.012 0. 0.012 0.029 0. 0.029 3.616 0. 3.616 0. 0. 0. 0. 0. 0. 3.236 0.063 3.172 0.289 0.003 0.285 0.428 0.02 0.408 0.065 0. 0.065
1700 100 1000 0. 0. 0. 0. 0. 0. 0.065 0. 0.065 0. 0. 0. 0.066 0.003 0.062 0. 0. 0. 3.861 0.048 3.812 0.012 0. 0.012 0.029 0. 0.029 4.306 0.015 4.29 0. 0. 0. 0. 0. 0. 3.533 0.075 3.457 0.301 0.008 0.293 0.266 0.008 0.258 0.075 0. 0.075
1800 100 1000 0. 0. 0. 0. 0. 0. 0.065 0.008 0.057 0. 0. 0. 0.067 0.007 0.059 0. 0. 0. 4.211 0.083 4.127 0.012 0. 0.012 0.03 0. 0.03 4.707 0.023 4.682 0. 0. 0. 0. 0. 0. 3.837 0.08 3.757 0.318 0.003 0.314 0.293 0.011 0.281 0.082 0. 0.082
