Params: a-extra-binders= 1100 , nevars= 1000 , ctx-size= 100
Tactic call make_fun-ev ran for 1.511 secs (1.479u,0.031s)
Tactic call make_evars ran for 0.032 secs (0.032u,0.s)
Tactic call open_constr_F-ev ran for 0.02 secs (0.02u,0.s)
Tactic call open_constr_FX-ev ran for 0.129 secs (0.121u,0.007s)
Tactic call beta-F-ev ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call deta-id-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call beta-FX-ev ran for 0.005 secs (0.004u,0.s)
Tactic call make_fun-tt ran for 1.65 secs (1.622u,0.027s)
Tactic call make_tts ran for 0.045 secs (0.045u,0.s)
Tactic call open_constr_F-tt ran for 0.019 secs (0.019u,0.s)
Tactic call open_constr_FX-tt ran for 0.031 secs (0.031u,0.s)
Tactic call beta-F-tt ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call deta-id-FX-tt ran for 0. secs (0.u,0.s)
Tactic call beta-FX-tt ran for 0. secs (0.u,0.s)
Params: a-extra-binders= 1200 , nevars= 1000 , ctx-size= 100
Tactic call make_fun-ev ran for 1.889 secs (1.861u,0.028s)
Tactic call make_evars ran for 0.032 secs (0.032u,0.s)
Tactic call open_constr_F-ev ran for 0.024 secs (0.024u,0.s)
Tactic call open_constr_FX-ev ran for 0.115 secs (0.111u,0.003s)
Tactic call beta-F-ev ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-ev ran for 0.005 secs (0.005u,0.s)
Tactic call deta-id-FX-ev ran for 0.005 secs (0.005u,0.s)
Tactic call beta-FX-ev ran for 0.005 secs (0.005u,0.s)
Tactic call make_fun-tt ran for 2.084 secs (2.044u,0.04s)
Tactic call make_tts ran for 0.045 secs (0.045u,0.s)
Tactic call open_constr_F-tt ran for 0.022 secs (0.022u,0.s)
Tactic call open_constr_FX-tt ran for 0.036 secs (0.036u,0.s)
Tactic call beta-F-tt ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call deta-id-FX-tt ran for 0. secs (0.u,0.s)
Tactic call beta-FX-tt ran for 0. secs (0.u,0.s)
Params: a-extra-binders= 1300 , nevars= 1000 , ctx-size= 100
Tactic call make_fun-ev ran for 2.129 secs (2.105u,0.023s)
Tactic call make_evars ran for 0.031 secs (0.031u,0.s)
Tactic call open_constr_F-ev ran for 0.028 secs (0.028u,0.s)
Tactic call open_constr_FX-ev ran for 0.117 secs (0.105u,0.012s)
Tactic call beta-F-ev ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call deta-id-FX-ev ran for 0.007 secs (0.007u,0.s)
Tactic call beta-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call make_fun-tt ran for 2.517 secs (2.493u,0.023s)
Tactic call make_tts ran for 0.045 secs (0.045u,0.s)
Tactic call open_constr_F-tt ran for 0.029 secs (0.029u,0.s)
Tactic call open_constr_FX-tt ran for 0.042 secs (0.042u,0.s)
Tactic call beta-F-tt ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call deta-id-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call beta-FX-tt ran for 0.001 secs (0.001u,0.s)
Params: a-extra-binders= 1400 , nevars= 1000 , ctx-size= 100
Tactic call make_fun-ev ran for 2.445 secs (2.401u,0.044s)
Tactic call make_evars ran for 0.032 secs (0.032u,0.s)
Tactic call open_constr_F-ev ran for 0.034 secs (0.034u,0.s)
Tactic call open_constr_FX-ev ran for 0.128 secs (0.128u,0.s)
Tactic call beta-F-ev ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call deta-id-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call beta-FX-ev ran for 0.005 secs (0.005u,0.s)
Tactic call make_fun-tt ran for 3. secs (2.968u,0.032s)
Tactic call make_tts ran for 0.046 secs (0.046u,0.s)
Tactic call open_constr_F-tt ran for 0.034 secs (0.034u,0.s)
Tactic call open_constr_FX-tt ran for 0.048 secs (0.048u,0.s)
Tactic call beta-F-tt ran for 0.001 secs (0.001u,0.s)
Tactic call prebeta-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call deta-id-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call beta-FX-tt ran for 0.001 secs (0.001u,0.s)
Params: a-extra-binders= 1500 , nevars= 1000 , ctx-size= 100
Tactic call make_fun-ev ran for 2.866 secs (2.826u,0.039s)
Tactic call make_evars ran for 0.031 secs (0.031u,0.s)
Tactic call open_constr_F-ev ran for 0.039 secs (0.039u,0.s)
Tactic call open_constr_FX-ev ran for 0.126 secs (0.118u,0.007s)
Tactic call beta-F-ev ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call deta-id-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call beta-FX-ev ran for 0.005 secs (0.005u,0.s)
Tactic call make_fun-tt ran for 3.408 secs (3.32u,0.087s)
Tactic call make_tts ran for 0.046 secs (0.046u,0.s)
Tactic call open_constr_F-tt ran for 0.039 secs (0.039u,0.s)
Tactic call open_constr_FX-tt ran for 0.055 secs (0.055u,0.s)
Tactic call beta-F-tt ran for 0.001 secs (0.001u,0.s)
Tactic call prebeta-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call deta-id-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call beta-FX-tt ran for 0.001 secs (0.001u,0.s)
Params: a-extra-binders= 1600 , nevars= 1000 , ctx-size= 100
Tactic call make_fun-ev ran for 3.313 secs (3.257u,0.055s)
Tactic call make_evars ran for 0.031 secs (0.031u,0.s)
Tactic call open_constr_F-ev ran for 0.046 secs (0.046u,0.s)
Tactic call open_constr_FX-ev ran for 0.137 secs (0.133u,0.004s)
Tactic call beta-F-ev ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-ev ran for 0.007 secs (0.007u,0.s)
Tactic call deta-id-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call beta-FX-ev ran for 0.005 secs (0.005u,0.s)
Tactic call make_fun-tt ran for 3.761 secs (3.673u,0.088s)
Tactic call make_tts ran for 0.044 secs (0.044u,0.s)
Tactic call open_constr_F-tt ran for 0.045 secs (0.045u,0.s)
Tactic call open_constr_FX-tt ran for 0.06 secs (0.06u,0.s)
Tactic call beta-F-tt ran for 0.001 secs (0.001u,0.s)
Tactic call prebeta-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call deta-id-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call beta-FX-tt ran for 0.001 secs (0.001u,0.s)
Params: a-extra-binders= 1700 , nevars= 1000 , ctx-size= 100
Tactic call make_fun-ev ran for 3.763 secs (3.723u,0.039s)
Tactic call make_evars ran for 0.031 secs (0.031u,0.s)
Tactic call open_constr_F-ev ran for 0.052 secs (0.052u,0.s)
Tactic call open_constr_FX-ev ran for 0.137 secs (0.137u,0.s)
Tactic call beta-F-ev ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call deta-id-FX-ev ran for 0.007 secs (0.007u,0.s)
Tactic call beta-FX-ev ran for 0.005 secs (0.005u,0.s)
Tactic call make_fun-tt ran for 4.277 secs (4.217u,0.06s)
Tactic call make_tts ran for 0.045 secs (0.045u,0.s)
Tactic call open_constr_F-tt ran for 0.051 secs (0.051u,0.s)
Tactic call open_constr_FX-tt ran for 0.067 secs (0.067u,0.s)
Tactic call beta-F-tt ran for 0.001 secs (0.001u,0.s)
Tactic call prebeta-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call deta-id-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call beta-FX-tt ran for 0.001 secs (0.001u,0.s)
Params: a-extra-binders= 1800 , nevars= 1000 , ctx-size= 100
Tactic call make_fun-ev ran for 4.265 secs (4.213u,0.051s)
Tactic call make_evars ran for 0.032 secs (0.032u,0.s)
Tactic call open_constr_F-ev ran for 0.059 secs (0.059u,0.s)
Tactic call open_constr_FX-ev ran for 0.14 secs (0.136u,0.004s)
Tactic call beta-F-ev ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call deta-id-FX-ev ran for 0.007 secs (0.007u,0.s)
Tactic call beta-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call make_fun-tt ran for 4.753 secs (4.637u,0.116s)
Tactic call make_tts ran for 0.044 secs (0.044u,0.s)
Tactic call open_constr_F-tt ran for 0.058 secs (0.058u,0.s)
