param-n beta-1-fast-real beta-1-fast-sys beta-1-fast-user beta-1-slow-real beta-1-slow-sys beta-1-slow-user beta-2-fast-real beta-2-fast-sys beta-2-fast-user beta-2-slow-real beta-2-slow-sys beta-2-slow-user delta-1-fast-real delta-1-fast-sys delta-1-fast-user delta-1-slow-real delta-1-slow-sys delta-1-slow-user unify-beta-1-fast-real unify-beta-1-fast-sys unify-beta-1-fast-user unify-beta-1-slow-real unify-beta-1-slow-sys unify-beta-1-slow-user unify-beta-2-fast-real unify-beta-2-fast-sys unify-beta-2-fast-user unify-beta-2-slow-real unify-beta-2-slow-sys unify-beta-2-slow-user unify-delta-1-fast-real unify-delta-1-fast-sys unify-delta-1-fast-user unify-delta-1-slow-real unify-delta-1-slow-sys unify-delta-1-slow-user unify-zeta-1-fast-real unify-zeta-1-fast-sys unify-zeta-1-fast-user unify-zeta-1-slow-real unify-zeta-1-slow-sys unify-zeta-1-slow-user unify-zeta-2-fast-real unify-zeta-2-fast-sys unify-zeta-2-fast-user unify-zeta-2-slow-real unify-zeta-2-slow-sys unify-zeta-2-slow-user zeta-1-fast-real zeta-1-fast-sys zeta-1-fast-user zeta-1-slow-real zeta-1-slow-sys zeta-1-slow-user zeta-2-fast-real zeta-2-fast-sys zeta-2-fast-user zeta-2-slow-real zeta-2-slow-sys zeta-2-slow-user
1 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
3 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
4 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
5 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
6 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
7 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
9 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.01 0. 0.01 0.01 0. 0.01 0.01 0. 0.01 0.009 0. 0.009 0.01 0. 0.01 0.009 0. 0.009 0.009 0. 0.009 0.01 0. 0.01 0.01 0. 0.01 0.01 0. 0.01 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
10 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.023 0. 0.023 0.023 0. 0.023 0.022 0. 0.022 0.023 0. 0.023 0.022 0. 0.022 0.022 0. 0.022 0.023 0. 0.023 0.022 0. 0.022 0.022 0. 0.022 0.023 0. 0.023 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
11 0.006 0. 0.006 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006 0.046 0. 0.046 0.046 0. 0.046 0.046 0. 0.046 0.045 0. 0.045 0.045 0. 0.045 0.044 0. 0.044 0.046 0. 0.046 0.046 0. 0.046 0.046 0. 0.046 0.045 0. 0.045 0.006 0. 0.006 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006
12 0.013 0. 0.013 0.012 0. 0.012 0.013 0. 0.013 0.013 0. 0.013 0.013 0. 0.013 0.013 0. 0.013 0.154 0.011 0.142 0.137 0. 0.137 0.138 0. 0.138 0.134 0. 0.134 0.153 0.003 0.149 0.138 0. 0.138 0.151 0.007 0.143 0.139 0. 0.139 0.133 0. 0.133 0.136 0. 0.136 0.013 0. 0.013 0.013 0. 0.013 0.011 0. 0.011 0.013 0. 0.013
13 0.026 0. 0.026 0.026 0. 0.026 0.026 0. 0.026 0.026 0. 0.026 0.027 0. 0.027 0.027 0. 0.027 0.371 0. 0.371 0.381 0. 0.381 0.378 0. 0.378 0.382 0. 0.382 0.362 0. 0.362 0.364 0. 0.364 0.379 0. 0.379 0.387 0. 0.387 0.375 0. 0.375 0.383 0. 0.383 0.026 0. 0.026 0.026 0. 0.026 0.027 0. 0.027 0.026 0. 0.026
14 0.046 0. 0.046 0.046 0. 0.046 0.046 0. 0.045 0.045 0. 0.045 0.054 0. 0.054 0.055 0. 0.055 0.646 0.04 0.606 0.619 0. 0.619 0.603 0. 0.603 0.608 0.007 0.6 0.714 0.036 0.678 0.688 0.004 0.684 0.654 0.039 0.614 0.619 0. 0.619 0.591 0. 0.591 0.61 0. 0.61 0.046 0. 0.046 0.046 0. 0.046 0.046 0. 0.046 0.046 0. 0.046
15 0.092 0. 0.092 0.093 0. 0.093 0.09 0. 0.09 0.095 0. 0.095 0.114 0. 0.114 0.108 0. 0.108 1.283 0.011 1.271 1.235 0.003 1.231 1.248 0.007 1.24 1.248 0. 1.248 1.489 0.031 1.457 1.463 0.019 1.443 1.284 0.008 1.276 1.236 0. 1.236 1.242 0.015 1.226 1.262 0.003 1.258 0.093 0. 0.093 0.091 0. 0.091 0.092 0. 0.092 0.092 0. 0.092
