param-a-num-binders param-n cbv-real cbv-sys cbv-user lazy-real lazy-sys lazy-user
0 0 0. 0. 0. 0. 0. 0.
1 1 0. 0. 0. 0. 0. 0.
4 2 0. 0. 0. 0. 0. 0.
25 5 0. 0. 0. 0. 0. 0.
100 10 0.001 0. 0.001 0.002 0. 0.002
225 15 0.006 0. 0.006 0.006 0.003 0.002
400 20 0.013 0. 0.013 0.071 0.003 0.067
625 25 0.023 0. 0.023 0.023 0. 0.023
900 30 0.05 0. 0.05 0.055 0.003 0.051
1225 35 0.122 0. 0.121 0.121 0. 0.121
1600 40 0.253 0. 0.253 0.251 0. 0.251
2025 45 0.449 0. 0.449 0.384 0.007 0.376
2500 50 0.757 0. 0.757 0.72 0. 0.72
3025 55 1.09 0. 1.09 1.088 0. 1.088
3600 60 1.589 0. 1.589 1.51 0.007 1.502
4225 65 2.106 0.007 2.098 2.156 0. 2.156
4900 70 2.919 0. 2.919 2.968 0. 2.968
5625 75 3.539 0.003 3.535 3.916 0. 3.916
6400 80 4.61 0. 4.61 4.99 0. 4.99
7225 85 6.386 0. 6.386 6.032 0. 6.032
8100 90 7.29 0.003 7.286 7.721 0. 7.721
9025 95 10.21 0. 10.21 9.057 0. 9.057
10000 100 12.198 0. 12.198 11.468 0. 11.468
11025 105 13.436 0.004 13.433 13.625 0.003 13.621
12100 110 15.936 0. 15.936 15.88 0. 15.881
13225 115 19.187 0. 19.187 19.388 0. 19.388
