param-a-num-binders param-n vm-compute-real vm-compute-sys vm-compute-user
0 0 0. 0. 0.
1 1 0. 0. 0.
4 2 0. 0. 0.
25 5 0. 0. 0.
100 10 0.002 0. 0.002
225 15 0.005 0.004 0.001
400 20 0.066 0. 0.066
625 25 0.024 0. 0.024
900 30 0.049 0. 0.049
1225 35 0.048 0. 0.048
1600 40 0.11 0.003 0.106
2025 45 0.088 0.012 0.076
2500 50 0.112 0.004 0.108
3025 55 0.138 0.004 0.134
3600 60 0.142 0. 0.142
4225 65 0.201 0.004 0.196
4900 70 0.251 0. 0.251
5625 75 0.383 0.015 0.367
6400 80 0.381 0.008 0.373
7225 85 0.504 0.027 0.477
8100 90 0.595 0.012 0.583
9025 95 0.716 0.023 0.692
10000 100 1.12 0.036 1.084
11025 105 0.911 0. 0.911
12100 110 1.03 0.027 1.002
13225 115 1.157 0.028 1.129
14400 120 1.538 0.043 1.494
15625 125 1.645 0.06 1.585
16900 130 1.895 0.083 1.811
18225 135 2.01 0.012 1.998
19600 140 2.355 0.023 2.331
21025 145 3.381 0.087 3.293
