param-n noop-repeat-rewrite-strat-bottomup-regression-cubic-real noop-repeat-rewrite-strat-bottomup-regression-cubic-sys noop-repeat-rewrite-strat-bottomup-regression-cubic-user noop-repeat-rewrite-strat-topdown-regression-cubic-real noop-repeat-rewrite-strat-topdown-regression-cubic-sys noop-repeat-rewrite-strat-topdown-regression-cubic-user noop-repeat-setoid-rewrite-regression-cubic-real noop-repeat-setoid-rewrite-regression-cubic-sys noop-repeat-setoid-rewrite-regression-cubic-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 0. 0. 0. 0. 0. 0. 0.001 0. 0.001
2 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0.001
10 0.006 0.004 0.002 0.006 0. 0.006 0.006 0.003 0.003
20 0.012 0. 0.012 0.065 0.008 0.057 0.019 0.007 0.011
30 0.028 0. 0.028 0.028 0. 0.028 0.028 0. 0.028
40 0.054 0. 0.054 0.055 0. 0.055 0.056 0. 0.056
50 0.095 0. 0.095 0.097 0. 0.096 0.161 0.016 0.145
60 0.158 0. 0.158 0.155 0. 0.155 0.157 0. 0.157
70 0.235 0. 0.235 0.235 0. 0.235 0.246 0. 0.246
80 0.34 0. 0.34 0.34 0. 0.34 0.344 0. 0.344
90 0.474 0. 0.474 0.475 0. 0.475 0.477 0. 0.477
100 0.643 0. 0.643 0.645 0. 0.644 0.648 0. 0.647
110 0.838 0. 0.838 0.845 0. 0.845 0.85 0. 0.85
120 1.082 0. 1.082 1.081 0. 1.081 1.095 0.003 1.091
130 1.368 0. 1.368 1.368 0. 1.368 1.374 0. 1.374
140 1.7 0. 1.7 1.7 0. 1.7 1.707 0. 1.707
150 2.1 0. 2.098 2.111 0. 2.109 2.119 0. 2.117
160 2.499 0. 2.499 2.508 0. 2.508 2.544 0. 2.544
170 2.973 0. 2.973 2.974 0. 2.974 2.993 0. 2.993
180 3.529 0.003 3.525 3.53 0. 3.53 3.535 0. 3.535
190 4.151 0.004 4.147 4.154 0. 4.154 4.16 0. 4.16
200 4.952 0. 4.947 4.961 0. 4.956 4.965 0. 4.959
