Params: 0-n= 131071 , 1-lgn= 16
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.14 secs (0.132u,0.008s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.05 secs (0.05u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.05 secs (0.05u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.05 secs (0.05u,0.s) (success)
Params: 0-n= 262143 , 1-lgn= 17
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.146 secs (0.142u,0.003s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.117 secs (0.117u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.1 secs (0.1u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.099 secs (0.099u,0.s) (success)
Params: 0-n= 524287 , 1-lgn= 18
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.265 secs (0.265u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.201 secs (0.201u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.199 secs (0.199u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.2 secs (0.2u,0.s) (success)
Params: 0-n= 1048575 , 1-lgn= 19
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.62 secs (0.62u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.403 secs (0.403u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.407 secs (0.407u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.406 secs (0.406u,0.s) (success)
Params: 0-n= 2097151 , 1-lgn= 20
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.982 secs (0.966u,0.016s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.801 secs (0.797u,0.003s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.803 secs (0.803u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.807 secs (0.807u,0.s) (success)
Params: 0-n= 4194303 , 1-lgn= 21
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 1.998 secs (1.999u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 1.607 secs (1.607u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 1.603 secs (1.603u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 1.612 secs (1.611u,0.s) (success)
Params: 0-n= 8388607 , 1-lgn= 22
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 3.239 secs (3.239u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 3.162 secs (3.162u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 3.173 secs (3.173u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 3.181 secs (3.181u,0.s) (success)
